review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R1U0RL5Q959G0N,B01CVXRAVK,Amazing smell and lather,5.0,"October 26, 2024",Stephanie S,1,I know it’s detailed as being earthy but they should update the fragrance because this doesn’t give earthy as much as it gives woodsy. I liken this to a santal or sandalwood. Either way it’s lovely and very moisturizing.,0,2025-04-15 12:41:20
customer_review-RHNOGIOFKKY0H,B01CVXRAVK,A Little Goes A Long Way!,5.0,"November 10, 2023",Adventure Cat,1,"This product smells great, lathers up nicely and leaves my skin feeling smooth and silky. Fair warning, the pump is very powerful so be careful when using the pump otherwise you’ll have too much product coming out at once. The scent seems powerful at first but after you rinse and dry off the scent is there but it isn’t overpowering or overwhelming. It is a mild pine scent.",2,2025-04-15 12:41:20
customer_review-R3E201PB8L1475,B01CVXRAVK,hydrating body wash,4.0,"April 11, 2023",babyanimal,0,"This body wash has a light fresh scent. It has a watery texture but it lathers well. The scent is not very strong so you can't really smell it during the shower so it feels scentless for the most part. What I like about this body wash is that it feels very moisturizing. My skin feels very clean and smooth afterward. I did feel like I had to use more of the body wash because of the watery texture so I didn't think it was a good value for a body wash, however, it really feels like a good quality body wash so this is the case where quality trumps quantity.",0,2025-04-15 12:41:20
customer_review-RR216T85114WU,B01CVXRAVK,Silky gentle and effective,5.0,"November 30, 2024",LCStone,1,"Love BOJ products and this one does not disappoint either. I have been using Pyunkang Yul shower gel and it’s really great, but BOJ feels creamier a more concentrated. It does have some fragrance but it’s slight. I am loving it and would recommend it.",0,2025-04-15 12:41:20
customer_review-R2YUITJEA35ITF,B01CVXRAVK,Packaging issues,1.0,"March 10, 2025",Mary Sur,1,The bottle came broken. Love this product but crappy delivery packaging.,0,2025-04-15 12:41:20
customer_review-R3MP6O5EPUF05,B01CVXRAVK,Lovely aroma,5.0,"June 26, 2024",evely davila,1,"Smells so amazing, not overpowering",0,2025-04-15 12:41:21
customer_review-R2S5NQW72TAI1W,B01CVXRAVK,Not pine-y,3.0,"August 1, 2024",Kam M.,1,"Smells really good, even high quality, but flowery. Not really piney. Going to return it.",0,2025-04-15 12:41:21
customer_review-R1XQL651VW76LN,B01CVXRAVK,Wonderful,5.0,"March 16, 2023",Tristan Tyler,1,"This wash is light and non stripping, but gets the job done. This left my skin feeling great, and it built a good lather. My skin felt soft after use, and made the shower smell lovely.",0,2025-04-15 12:41:21
customer_review-R3IHDFL9XP9NDV,B01CVXRAVK,Gorgeous,5.0,"August 25, 2023",K M,1,Beautiful herby scent. Moisturizing without feeling sticky or like there’s a residue. Love it!,0,2025-04-15 12:41:21
customer_review-R1IVR51CREFBBV,B01CVXRAVK,Love the smell,5.0,"January 6, 2024",AshBash,1,Smells like a pine forest. Love it!,0,2025-04-15 12:41:21
