review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R12HILMDAH7DQ4,B01CVXRCR2,I am a lover of things pine and forest-like,5.0,"March 16, 2023",Tristan Tyler,1,"When I first sprayed this perfume, I was thrown off by the powdery and alcohol smell it gave off. This made me nervous for what was to come after this faded away, but when it did, the scent was lovely. I could smell the point, as well as other elements within the perfume. It was forward but gentle in scent and carries well through the day. I am a lover of things pine and forest-like, and this gives a wonderful reminiscence of just that. It's light but delivers well. I even got a few compliments on this my first time wearing it. The scent is not feminine or masculine, it is quite neutral. I will be repurchasing this when I am through with my bottle. Side note, this pairs wonderfully with the body wash and cream.",10,2025-04-15 12:43:31
customer_review-R1NBTNJOSHRVT4,B01CVXRCR2,Overall good fragrance,4.0,"November 3, 2024",Maya,1,"Like a lot of other reviews said, this fragrance definitely gives off a bit of a powdery scent and isn't as intensely pine-scented as I would have expected. Nevertheless, it is a wonderfully light and soft scent that is floral-focused with woody notes of pine and sandalwood. It could be gender-neutral but I definitely get a more feminine vibe from it.

Definitely a lovely scent and does evoke the imagery of a pine grove in bright sunlight. I will use and enjoy this product but likely won't purchase it again unless it goes on sale (which is why I bought it in the first place) Love BoJ products and will be shopping with them again for my skincare needs!",0,2025-04-15 12:43:31
customer_review-R30E8TUC86YVRY,B01CVXRCR2,"Powdery scent, not very pine-y",2.0,"April 7, 2023",Audrey,1,"I wouldn't purchase it again, but it's fine. It's not my favorite.",2,2025-04-15 12:43:31
customer_review-R2P7BP6S08CWC5,B01CVXRCR2,PINE STRAW,1.0,"September 20, 2024",Tls,1,Do not recommend. I thought this would smell nice and woody it’s smells like mash pine straw in a bottle. It’s not a good perfume to buy on a whim.,0,2025-04-15 12:43:32
customer_review-R2ICSCBMP0XFTL,B01CVXRCR2,Fav perfume,5.0,"October 13, 2024",Lavie.etude,1,My absolute favourite perfume ever.,0,2025-04-15 12:43:32
customer_review-R3GCLNNDJ6OHE8,B01CVXRCR2,Pretty,5.0,"May 1, 2023",Reneerk,0,"I really like how this perfume smells. It's nice, light, and unique. It's described as a pine scent, which I can pick up on when I first spray it, but it fades into a more perfumey, floralish scent. I normally don't like perfumey or floral but there's something different about this one. It's comforting and pleasant. The different notes work really well together and it definitely isn't something that'll leave you smelling just like every other woman in the room, it's different (in a good way!) It is a K product and I can't read anything on the box itself, so I'm only going on what the description page says that the notes are. It lasts a decent amount of time on my clothes and skin and I like how as it fades, it smells different.",0,2025-04-15 12:43:32
customer_review-R2Z0ZOPWI5KI4P,B01CVXRCR2,Too powdery,4.0,"May 8, 2024",Ana Akopashvilo,1,It has a nice scent of forest but is too powdery.,0,2025-04-15 12:43:32
customer_review-R2RF4CGTAA5PT5,B01CVXRCR2,Not For Me,2.0,"April 25, 2023",annie,0,"I found the scent of Pine Grove Teeshell Portrait perfume to be very strong, and I personally don't care for it.",0,2025-04-15 12:43:32
customer_review-R2A3EP7SS0GDOW,B01CVXRCR2,This smells good,3.0,"May 6, 2023",Eugene,0,"This perfume has my favorite scents. The top notes are bergamot, pine, and eucalyptus. The middle notes are lavender, lotus, and rosemary. And the base notes are cedarwood and musk. This is fairly long lasting (a few hours) and is not overpowering. I like an elegant glass bottle. Receive compliments on this light floral scent. The main complaint is the scent isn't too strong for the price of $45. Other than that, I am completely satisfied.",2,2025-04-15 12:43:32
customer_review-RVARVK9V2C780,B01CVXRCR2,"Woody fragrance, doesn't last too long",3.0,"May 22, 2023",GGR,0,"This fragrance is true of the pine groves. Initially when I sprayed it, I didn't really like the fragrance that much but after a few minutes the fragrance was more soothing and a woody fragrance. It is not too strong but overall pleasing. One concern is that the fragrance doesn't last very long. In a few hours of spraying it, I could barely smell it. Considering the price, it is a bit expensive for short lived fragrance.",0,2025-04-15 12:43:32
