review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-RSUM9C8YGANBZ,B08RLZ28QK,Hydration and Vitality with the Power of Ginseng,5.0,"March 14, 2025",Miguel,1,"The Beauty of Joseon Ginseng Essence Water is a fantastic choice for those looking for hydrated, balanced, and revitalized skin. Its formula features key ingredients such as 80% ginseng water, providing deep hydration, 2% niacinamide, which helps strengthen the skin barrier and minimize pores, and 0.5% BHA, perfect for gentle exfoliation without irritation.

This product works as a toner, essence, and lightweight moisturizer, making it versatile and suitable for both oily and dry skin. With regular use, the skin appears more radiant and healthy.

One thing to note is that while it provides good hydration, those with extremely dry skin might need an additional moisturizer. Overall, it’s a great K-Beauty essential worth trying!
El Beauty of Joseon Ginseng Essence Water es una excelente opción para quienes buscan una piel hidratada, equilibrada y revitalizada. Su fórmula combina ingredientes clave como el 80% de agua de ginseng, que proporciona una hidratación profunda, 2% de niacinamida, que ayuda a mejorar la barrera cutánea y reducir los poros, y 0.5% de BHA, ideal para exfoliar suavemente sin irritar la piel.

Es un producto versátil que funciona tanto como tónico, esencia e hidratante ligero, adaptándose bien a diferentes tipos de piel, ya sea grasa o seca. Tras varias aplicaciones, se nota una piel más luminosa y saludable.

El único punto a considerar es que, aunque hidrata bien, quienes tienen piel extremadamente seca podrían necesitar un refuerzo con una crema más densa. En general, es un excelente producto de K-Beauty que vale la pena probar.",6,2025-04-15 12:27:57
customer_review-RJQ7JWYSLBZPM,B08RLZ28QK,It was great till it was not..,5.0,"September 3, 2024",Monica,1,"I really do not do reviews but in this case I feel like I have to, to warn people have sensitive skin to be careful if they want to try this skincare line. I ordered my first beauty of Joseon last year I got the ginseng toner, the cleanser and the serum that goes with it. Up on using the product I felt that my skin is healthy and glowing and clear then it have ever been. And to make it clear I have a hyper sensitive skin and on top of that I have eczema so my skin can flare up anytime if it wants to or if I use something that irritates it. Since I use the products for a year everything was doing fine everything was perfect I'm loving the product there's no problem with it my skin is loving it not until the beginning of this year all of a sudden my face broke out. My face started to itch I thought it was just itchy but when I look at it on the mirror I see some redness on my skin and some rash, so basically my face was flaring up but I did not blame it to the skincare that I was using because like I said a year prior everything was perfect so I thought it's just my skin doing its thing and it's going to go away. So I stopped using the skin care line until my face was fully healed so that was about June when my face finally healed from the flare-up that I had from the beginning of the this year. I didn't use the toner because I ran out, but I still have the oil based cleanser and I'm being using it on and off and my face is okay it didn't flare up it no allergic reaction or anything like that. decided to reorder the toner Plus the light vitamin C serum and got delivered yesterday, so I opened up the new bottle of toner and the vitamin C light serum and use it exactly at 9:40 p.m.. but when 3:00 a.m. came left corner of my lips was kind of itchy so I checked it out on the mirror and it was red and I was praying in my heart that it wasn't from the toner and the term that I used prior before going to work. But as the morning progress the T-Zone area on my face flared up now it have a full-blown allergic reaction it have this small type of rash and it's red and it's itchy. So I am sad to say I am discontinuing using the toner and serum. before knowing that the cause of my previous allergic reaction was this skin care line I reordered the snail serum as well because I was using that last year and I really like the results. Now I'm sad because not only did I feel like I wasted my money now I don't know what to do with this brand new products especially the snail serum that is going to be delivered tomorrow.
So in conclusion for all of the people who have sensitive skin and their skin can be easily irritated please be careful before buying this or any type of skin care. Just make myself clear I'm not saying the product is not good because like I said I love the product and it worked on me last year when i got it.",74,2025-04-15 12:27:57
customer_review-R3HPRJZTW5VV23,B08RLZ28QK,Love this Essence water,5.0,"April 8, 2025",Toni,1,Love this ginseng essence water and it does hydrate your skin if you have dry skin and affordable.,0,2025-04-15 12:27:57
customer_review-RF6MH1WJVBOWO,B08RLZ28QK,Has a weird smell but works wonders.,4.0,"March 18, 2025",Wren,1,"It has kind of an unpleasant smell but once you pat it into the skin it goes away. Works best if applies on a very damp/slightly wet face and once your skin dries down you will notice the difference in how it feels.

I really like BOJ, the only thing of theirs that didn't help my skin was the exfoliator - its too gentle, it doesnt really exfoliate like id want.",2,2025-04-15 12:27:57
customer_review-R2QYCJJX1YKYG0,B08RLZ28QK,Lovely essence that's not over-priced,5.0,"April 19, 2024",Kathryn Magendie,1,"Update: I reorder this whenever I am out - I love what it does to and for my skin. They also have a ginseng/snail mucin mix that works so well for my rosacea redness. If I use CosRX centella asiatica toner, then this ginseng essence, and top it off with either CoxRX snail mucin or the BOJ ginseng/smail mucin, my skin is not only glowing with a healthy glow, but the redness is very much calmed down! That's all I have on my face as I write this and my skin feels wonderful. I will add some retinoid and/or moisturizer later.

Love it!
--------------------

This is my first try of Beauty of Joseon and I would definitely try other products from this brand. My skin loves K-beauty, and as well I often find some K-beauty brands are not as pricey. This one is reasonably priced and a little goes a long way so that makes the value better as well.

I love how you have to 'shake out' a bit of the essence so that it isn't wasted - not to much comes out at a time and you don't need much. A few shakes onto my palm and I pat and then press the essence onto my skin. Patting and pressing works better than trying to 'rub' it onto the skin.

I do a multi-step routine - since I work remotely, I have the time to take my time. I cleanse and immediately use a toner--though this is both essence and toner, right now I have a separate milky toner. I sometimes apply this essence right after toning or I'll wait 10-15 minutes. I wait another 15 minutes or more and then comes my vitamin c. Waiting between each product allows it time to absorb into my skin (at least this is what my research indicates). It also gives my skin time to settle down between products. I apply my serums and moisturizers, and SPF last when I'm leaving the house.

Essences are mostly water and that's what they are supposed to be so don't expect something thicker or emollient. Essences are made to go on early in your routine, after cleansing, whether you use them as a toner or just an added step after toning as I'm doing right now until my milky toner runs out and then I will use this as one step toning and essence and see how that goes.

I have rosacea-prone skin and there is zero irritation or redness, no burning or itchy feeling. My skin tolerates this essence very well. It leaves my skin looking bright and refreshed.

There is 2% Niacinamide included, which is a form of vitamin B and though it's a small amount, it's still a powerhouse ingredient.

Ginseng is known for its anti-aging qualities, inflammation reducing, and brightening for the skin.

I'm happy with my order.",102,2025-04-15 12:27:57
customer_review-R1M8DTHL4NMW1H,B08RLZ28QK,Gentle and skin feels nice after use,5.0,"April 3, 2025",elizabeth,1,"Been using this for a few weeks now. Skin feels soft, not harsh",0,2025-04-15 12:27:57
customer_review-R1M02I0VEVUNVI,B08RLZ28QK,Incredible,5.0,"March 12, 2025",bex__7,1,"I have bought this 3x and will continue to do so. Beautiful essence, perfect for any skin type! Makes my face glow, smooths, texture, helps with hydration, and calms. I also love using this on my neck, chest, hands, and anywhere else that needs a little extra help. Highly recommend!",4,2025-04-15 12:27:57
customer_review-R20A7Z5IJD6R1P,B08RLZ28QK,This product was all over my instagram..,3.0,"September 27, 2023",Sarah,1,"The Beauty of Joseon Ginseng Essence Water is a popular Korean skincare product that combines traditional herbal ingredients with modern skincare science. Here's a review of this essence water based on its performance and qualities:

Pros:

1. Hydration: This essence water is exceptionally hydrating, making it an excellent choice for those with dry or dehydrated skin. It provides a surge of moisture that leaves the skin feeling plump and refreshed.

2. Key Ingredient: Ginseng: Ginseng is a renowned traditional Korean skincare ingredient known for its anti-aging and skin-firming properties. This product contains a high concentration of ginseng extract, which can help improve skin texture and elasticity over time.

3. Lightweight Texture: The essence water has a lightweight and watery consistency that absorbs quickly into the skin. It's suitable for layering with other skincare products in your routine.

4. Brightening Effect:t This product contributes to a brighter complexion and helps even out skin tone. The ginseng extract is believed to enhance skin radiance.

5. Gentle and Suitable for Sensitive Skin: This essence water is formulated without parabens, artificial fragrances, or other potentially irritating ingredients. It's suitable for sensitive skin types and is dermatologist-tested.

6. Packaging: The product is packaged in a beautiful glass bottle that adds a touch of luxury to your skincare routine. The pump dispenser is convenient and hygienic.

Cons:

1. Scent: I find the scent of this product to be slightly herbal or medicinal, which could be a personal preference issue. However, the scent dissipates quickly upon application.

2. Price: Beauty of Joseon products are considered to be on the higher end of the Korean skincare spectrum. While the quality justifies the cost for many, it may not fit everyone's budget.

3. Not Ideal for Oily Skin: Due to its rich hydration properties, this essence water may feel heavy on oily or acne-prone skin. It's better suited for individuals with dry to normal skin types.

In conclusion, the Beauty of Joseon Ginseng Essence Water is a highly effective and hydrating skincare product, particularly well-suited for those with dry or dehydrated skin. Its star ingredient, ginseng, provides anti-aging and brightening benefits over time. The lightweight texture and gentle formula make it a popular choice among skincare enthusiasts, although the price may be a consideration for some. If you're looking to incorporate the benefits of ginseng into your skincare routine and prioritize hydration and luminosity, this essence water is worth considering, especially if you appreciate the luxurious packaging and Korean skincare traditions.",166,2025-04-15 12:27:57
customer_review-R3TMP3A0SZC23L,B08RLZ28QK,Simply lovely,4.0,"April 5, 2025",Mika,1,"Had a nice glow using this. Finished the bottle, pretty good stuff for my skin.",0,2025-04-15 12:27:57
customer_review-R7YGLMKAYJEKD,B08RLZ28QK,Love it,5.0,"March 31, 2025",YilliAmazon,1,"Moisturizing on the skin, and lasts a long time.",0,2025-04-15 12:27:57
