review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R2X6MN78QAZWS0,B08WJQ3XJD,Excellent & Cruelty Free!,5.0,"April 11, 2025",C. Byer,1,"I love this moisturizer. It doesn’t feel heavy or greasy, but it’s thick enough to work as a night cream. It’s very hydrating—and remember, hydration is crucial for preventing wrinkles.

I also really appreciate that this brand is cruelty free, although, it is a little strange that this is not indicated anywhere on the product packaging. However, I did my own research and have confirmed that this product and brand are indeed cruelty free.

Overall, I find this to be completely worth the price. It’s an excellent value, and my skin definitely looks younger and feels softer since I have started using it.",0,2025-04-15 12:26:04
customer_review-R2DGXHK4G4B43P,B08WJQ3XJD,US based products can not touch this!,5.0,"April 6, 2025",Kristie C,1,"I recently began exploring K-Beauty products and chose to try BOJ for my first purchase. I can say right away that it provides much better hydration compared to products I've bought in the US. It makes my skin feel soft and absorbs rapidly without leaving any residue. The value is excellent for the quantity you receive. Since starting the K-Beauty BOJ line, my friends have commented that my skin looks “dewy” and it gives my complexion a lovely glow. -Kristie",3,2025-04-15 12:26:04
customer_review-R1POTHYILL0QV5,B08WJQ3XJD,"A Hydrating, Brightening Marvel for Your Skin",5.0,"February 15, 2025",Forough,1,"I recently tried the Beauty of Joseon Dynasty Cream, and it has quickly become one of my favorite moisturizers. This cream beautifully blends traditional Korean herbal ingredients (Hanbang) with modern skincare benefits, making it an excellent choice for hydration, brightening, and overall skin health.

Texture & Absorption

The cream has a silky, lightweight gel-cream texture that feels luxurious on the skin. Despite being deeply hydrating, it absorbs quickly without feeling greasy. It leaves a healthy, dewy glow without making the skin look overly shiny, making it perfect for both day and night use.

Hydration & Moisture

With key ingredients like rice bran water, ginseng root extract, and niacinamide, this cream provides long-lasting hydration while brightening the skin and improving elasticity. My skin feels plump, soft, and well-nourished after using it, and it helps with dry patches without clogging pores.

Skin Benefits

✔ Brightens and evens out skin tone
✔ Provides deep hydration without heaviness
✔ Soothes and strengthens the skin barrier
✔ Works well under makeup for a smooth base

Scent & Packaging

The cream has a light, herbal-floral scent that fades quickly after application. The packaging is minimalist and elegant, but the jar can appear less full due to the air-sealed packaging process.

Best For:

✔ Normal to dry skin looking for deep hydration
✔ Combination skin needing moisture without heaviness
✔ Sensitive skin, thanks to its calming and non-irritating formula

Final Verdict

The Beauty of Joseon Dynasty Cream is an amazing all-in-one moisturizer that hydrates, brightens, and soothes the skin. If you’re looking for a luxurious, effective, and affordable moisturizer, this is definitely worth trying!",25,2025-04-15 12:26:04
customer_review-RDI5CMZ5OY1JG,B08WJQ3XJD,Hydrating Cream for the Winter,4.0,"February 25, 2025",Amazon Customer,1,"This cream is pretty hydrating & great for slugging at night. It’s not as thick as I thought it would be, so I also use it in the day if my skin is dry. It’s more of a winter cream because it’s a bit thicker than I prefer for summer. I don’t break out from it either. I wish it was a little bit thinner, or if there was an another cream that was similar & thinner for the summer months.",5,2025-04-15 12:26:04
customer_review-RB26A98GQHP56,B08WJQ3XJD,Hydrating but lightweight Korean moisturizer.,5.0,"April 13, 2025",Renee Dosch,1,"This moisturizer is very luxurious, gentle, hydrating but non greasy. it hits all the bells and most importantly its affordable. It feels like a very expensive brand. I am hooked on Korean skincare now. The ingredients are excellent and the price is right. I've never had any irritation either. Very hydrating but lightweight.",0,2025-04-15 12:26:04
customer_review-R2DWOK7SJX5M7H,B08WJQ3XJD,Hydration Hero,5.0,"April 8, 2025",Steph,1,"This moisturizer is a game-changer. It’s lightweight, non-greasy, and leaves my skin feeling soft, smooth, and super refreshed. It absorbs quickly and wears beautifully under makeup or sunscreen. My face actually feels hydrated all day—no tightness, no shine, just balanced and happy skin. Even better? People have noticed! I’ve gotten compliments on how glowy and healthy my skin looks. A total must-have in my routine!",2,2025-04-15 12:26:05
customer_review-RZG2SWE1KLVL6,B08WJQ3XJD,New Fav,5.0,"April 9, 2025",Bethany H,1,"I LOVE this cream. It's got a medium weight to it, not too heavy and not too thin. It does stay a little tacky on the skin once applied, but since I apply it right before bed, it's not an issue. It hydrates my skin wonderfully and feels amazing after a day in the sun.",0,2025-04-15 12:26:05
customer_review-R1WTSR3OBFI756,B08WJQ3XJD,fungal acne,3.0,"April 7, 2025",D,1,"Works ok on face and chin, but using it any time on my forehead makes my forehead break out in fungal acne (little bumps). Use with caution and test. Probably won't buy again.",2,2025-04-15 12:26:05
customer_review-R7DJBO9BKQDBO,B08WJQ3XJD,"Soothing, light weight, hydrating",5.0,"April 5, 2025",Loulou,1,"This is a lovely cream. Beautifully packaged. The cream is light, very emollient, hydrating and refreshing. I have sensitive skin, 72 years old, tried everything (exc. retinol -- too harsh) and I can't say enough about this cream. My skin immediately settled down, and it wears like a dream. Just had to share my good experience.",2,2025-04-15 12:26:05
customer_review-RXBWES8C1ACPE,B08WJQ3XJD,Super Hydrating and soft!,5.0,"April 10, 2025",Danielle,1,This was so hydrating! I treat this as more of a night time masque as it is quite heavy under makeup unless my skin is really dry. It kept my skin hydrated on a 16 hour plane ride!,0,2025-04-15 12:26:05
