review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R94IW550940ZD,B09DLFCB69,Effective Serum for Brightening and Evening Skin Tone,5.0,"April 9, 2025",Christian Perez,1,"I've been using the serum for a few weeks now, and it's made a noticeable difference in my skin. The serum is lightweight and absorbs quickly without any sticky residue. After consistent use, I've observed a reduction in dark spots and a more even complexion. The combination of rice bran water and alpha-arbutin seems to work well for brightening the skin. Additionally, it provides a good level of hydration, leaving my skin feeling soft and supple. I appreciate that it's fragrance-free and hasn't caused any irritation. Overall, it's a solid addition to my skincare routine, and I plan to continue using it.",0,2025-04-15 12:22:12
customer_review-R2EWR87J1N9LJD,B09DLFCB69,My skin adores BOJ,5.0,"September 3, 2024",Kathryn Magendie,1,"I had the trial size of this Glow Deep Serum. The mini size set contained this Glow Deep, another glow serum that has other types of antioxidants, snail mucin mixed with ginseng, and a green tea calming serum. Out of that set I reordered the two glow serums and likely will reorder the green tea. I use CoxRx snail mucin, which is amazing, so I likely won't order the ginseng and snail mucin though it is a great serum as well.

Beauty of Joseon is so calming and so gorgeous on my rosacea prone skin - I have Type 1, which means my cheeks and sometimes my nose will turn red or have some flushing. If my skin barrier is messed up, there could be stinging as well when I use some skincare products.

But BOJ calms my skin and this Glow Deep gives my skin a nice glow without being too shiny and is super great for hydration.

Alpha arbutin, an antioxidant that is basically Hydroquinone, comes from the bearberry plant, and works as a skin brightener and for post-inflammatory pigmentation, and helps with hydration.

It just makes my skin look and feel amazing. I am moving towards having most of my skincare come from BOJ, CosRx, and maybe some Gangnam Glow. These seem to be the ones that make my skin feel hydrated, calm my rosacea redness, give me a glow, help with mature skin, and are inexpensive. And CoxRx and BOJ are not fragranced, though a little essential oil fragrance doesn't seem to bother my skin too bad. But the perfumes will and these brands are not perfumed.",74,2025-04-15 12:22:12
customer_review-R1FR05Z1S1ON3K,B09DLFCB69,"Nice, but not sure if it’s working",4.0,"March 22, 2025",Kiana,1,"Feels nice, however, I’m not sure if it’s making a huge difference for my skin",2,2025-04-15 12:22:12
customer_review-R1WRLDLMUPZA3F,B09DLFCB69,Love this product.,5.0,"November 4, 2024",Christina Pope,1,This stuff is amazing!!!!! The compliments i have received about my skin since I've started using this is crazy. I have been told my skin looks even and that it has a glow. I don't wear make up so it is a huge confidence boost. I had some hyperpigmentaion around my mouth and it is almost gone. I use it in the morning and at night. I don't miss a day. I feel consistency is key with this product. There is not really a scent and I like the texture because it is not watery but not thick either. I almost out so I will be buying another bottle. Also I had no irritation or break outs and my pores have got smaller and non-existent in some areas.,62,2025-04-15 12:22:12
customer_review-R10VFO4A4UW1QG,B09DLFCB69,2nd purchase. In love,5.0,"January 20, 2025",AliD,1,"I was a bit skeptical about serums and oils on my face. I have sensitive skin and cab break out easily.
This product did hydrate, lasted a long time, made my skin feel so soft.
Used it every day and the bottle is not quite empty from my first purchase, but I didn’t want to run out. My skin is brighter, glowy, without being sticky. Easy to apply and decent value for the money.",15,2025-04-15 12:22:12
customer_review-RLAP3992IDUN5,B09DLFCB69,It feels nice on skin,3.0,"March 14, 2025",Amanda,1,,2,2025-04-15 12:22:13
customer_review-R2KVZ2M9LOJ782,B09DLFCB69,I have been using this for 2 year already I recommend,5.0,"April 7, 2025",stevi,1,"I am in my 30s and I have been using this for 2 years not and I definitely recommend it. This and the retional eye cream at night are great for glowy and dark sorts . No heavy scent, it’s hydrating, and it’s very effective. Just remember to use sunscreen after",0,2025-04-15 12:22:13
customer_review-RDL9C82VCPANZ,B09DLFCB69,Lightweight,5.0,"March 19, 2025",beevee,1,"This serum has brightened my skin! The combination of rice and alpha-arbutin works wonders for evening-out skin tone. It's lightweight and absorbs easily, perfect for layering in my skincare routine.",2,2025-04-15 12:22:13
customer_review-RFU7YQ5J9GQ30,B09DLFCB69,❤️,5.0,"April 7, 2025",Mary J,1,I just ordered my 2nd bottle. This is light and well absorb. My skin loves it! I can tell by the way it looks. I will forever use this.,0,2025-04-15 12:22:13
customer_review-R106Z2K4BDGFXH,B09DLFCB69,Uesless,5.0,"April 4, 2025",Lakhvir Singh,1,Hii this brand is not work in my skin I uesd it till one month I didn’t seen any change in my skin waste of money and time,0,2025-04-15 12:22:13
customer_review-R3A2RN4Z2V4AL1,B09DLFCB69,My skin is much more plump and even,5.0,"April 7, 2025",KikaOG,1,Oh wow my skin loves this. My face recently freaked out and this has helped soothe and rebalance my skin. 10/10*******,0,2025-04-15 12:22:15
customer_review-R235357T2T3FQN,B09DLFCB69,Excelente producto recomendado,5.0,"March 30, 2025",Me encantó ! Excelente calidad igual a la imagen,1,"Excelente producto , deja la piel luminosa , su textura es suave y ligera , queda la piel como de porcelana",0,2025-04-15 12:22:15
customer_review-R2KBF8MCRSXLRU,B09DLFCB69,Get it!,5.0,"April 7, 2025",Daindoll,1,THIS HAS TRANSFORMED MY SKIN! Get it!,0,2025-04-15 12:22:15
customer_review-R3H80CC583AM9W,B09DLFCB69,"3 Stars – Great for Hydration, But No Visible Change in Dark Spots",3.0,"April 10, 2025",morgan mcleod,1,"I’ve been using the Beauty of Joseon Glow Deep Serum consistently for the past 3 months. I did like the hydration but I didn’t notice any real improvement in my dark spots or discoloration.

The texture is lightweight, absorbs well, and feels really soothing, especially on days when my skin feels a bit dry or irritated. I also appreciate that it’s fragrance-free, which is great for sensitive skin like mine.

That said, I was hoping to see more visible results with fading acne scars or evening out my skin tone. Unfortunately, I didn’t notice much difference in that area.

Overall, I’d give it 3 stars — great for hydration and a nice addition to your routine if you’re just looking for moisture and a calming serum, but it didn’t deliver on the brightening claims for me.",0,2025-04-15 12:22:16
customer_review-R2WP22UOLJOGE6,B09DLFCB69,recommended,5.0,"April 7, 2025",Karin Malave,1,excellent for my face,0,2025-04-15 12:22:16
customer_review-R3E5C9L82N4FPR,B09DLFCB69,Very moisturizing,5.0,"March 31, 2025",maelin,1,"Love this for my skin, my face and neck are so moisturized all day",0,2025-04-15 12:22:16
customer_review-R1WAXAHHPCG2EP,B09DLFCB69,This product hydrates the face.,5.0,"April 7, 2025",Cynthia Atkinson,1,Very good product,0,2025-04-15 12:22:16
customer_review-R1OFP8A46BEE0H,B09DLFCB69,Love this serum!,5.0,"March 8, 2025",Reviewer,1,I've been hearing great things about this serum so I decided to give it a try and I must say this serum is amazing. My skin is glowing and it didn't take long to see results. I use this in the morning and night everyday and I've had no break outs or irritations at all!,3,2025-04-15 12:22:16
customer_review-R3J6H4F96ATR2I,B09DLFCB69,It works,5.0,"March 21, 2025",Asiah,1,My skin looks brighter. Goes on well. I have semi dry skins and this along with other products from the brand have helped keep me moisturized.,0,2025-04-15 12:22:16
customer_review-R2HHOS8BH0S0K3,B09DLFCB69,GLOW,5.0,"March 28, 2025",Debra,1,GLOW. I’m 70. I love it. My second bottle. My face has that healthy glow,0,2025-04-15 12:22:16
