review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R1C2G5US7H1J00,B09N8NGJ77,Cloud like lather!,5.0,"February 15, 2025",Amazon Customer,1,"This bar has the softest most cloud like lather I’ve ever felt from a facial bar! Not a strong scent which I appreciate as someone that gets migraines from strong scents. Left my face feeling nice, clean and soft.",3,2025-04-15 12:38:37
customer_review-R3C2FW9M2BMAAB,B09N8NGJ77,"Sooooo Good! Soothing, non drying and a joy to use.",5.0,"November 5, 2024",Amazon Customer,1,"Of all of the products l have tried by this company, this is hands down my favorite. I primarily use this as a facial cleanser, but you can use this on your body as well. I was a bit skeptical to use a bar cleanser, but that changed as soon as l used it. I have dry sensitive skin so wasn't expecting much, but l'm so happy l found this. It gives a lovely soft leather, feels great on
the skin, leaves your skin clean and soft, with no tightness. I'd much rather use this than the expensive Estee Lauder gel cleanser l was using before. Not only does this do a better job, but it is a fractions of the price.
My Husband even tried it and now using it as well. I will definitely keep purchasing this.",5,2025-04-15 12:38:37
customer_review-R1UAP2X8DZ01YF,B09N8NGJ77,Smells Good and Quality Looks Good/UPDATE ON SKIN,5.0,"January 15, 2025",Rachel,1,"This is my first time trying this Rice Bar Soap, so I’m giving you a update on how my Skin Reacts to it.. I hope from this my Skin glows and hydrates.. As of now, packing is lovely and the Bar feels so smooth which I like. It’s unscented which is a plus it does not smell like strong fragrances because this imply this product is. Natural and not so harsh on Skin.. AS OF NOW I like it and will give out Update Size it’s pretty Small on my opinion but I’m planning to use it on my Skin only so I don’t mind.

Update:This has been the third day, I have been using the Rice Bar on my Skin. Day and Night.. let me tell you this makes your SKIN SO SOFT! And it gives you a natural Glow!!!! Not too Greasy glow just the one that makes you look like a natural soft Glow!! My Skin did not irritate at all no matter how many times of I applied this soap on my Face.. This is perfect if you are struggling with Sensitive Skin.. ❤️",6,2025-04-15 12:38:37
customer_review-R1BG6NKVCQPTDF,B09N8NGJ77,Great soap,5.0,"January 20, 2025",SA,1,"I love this but its very expensive, clean well u feel the hydration after !! Basically u feel clean no smell !",0,2025-04-15 12:38:37
customer_review-R4YMC2EMXLEMY,B09N8NGJ77,Beauty of Josen is worth every dime light weight but effective.,4.0,"February 6, 2024",Claudette,1,I never thought about using a bar soap until this cleansing bar❤️I love it for my sensitive and hyperpigmentation skin It clean without over stripping very moisturizing my skin tone seem to be more even I combine with the ginger essence.,6,2025-04-15 12:38:37
customer_review-R16WAIRSJY51I7,B09N8NGJ77,All around good product,5.0,"December 2, 2024",Alexis Griffus,1,"The good points with this soap: it has a gentle exfoliating feel, it feels good on my skin while using it.

What could be better: it doesn’t last very long, I’ve only used it about three times and it’s already quite small now. And it does leave kind of a “grippy” feel after rinsing which I don’t like in soaps.",0,2025-04-15 12:38:38
customer_review-RHJLTHP7V6K3Z,B09N8NGJ77,Yes,5.0,"December 3, 2024",Tieva saylor,1,This is good stuff thank you .,0,2025-04-15 12:38:38
customer_review-R3P6HI735AT01I,B09N8NGJ77,Surprisingly Gentle,5.0,"December 23, 2023",Beth Ross,1,"I have sensitive, reactive, dehydrated and normal to dry skin. I easily break out when my skin is overstripped or the barrier is compromised in any way. For years I have been unable to use any cleanser that is foaming or sudsing in any way and have had to use only lotion type cleansers. I thought I would try this as I love other products from this line and the price was very reasonable. I am so surprised to say that I have been able to use this twice a day for so long that I went through an entire bar and bought two more! It foams nicely, and I have missed being able to use a foamy cleanser. The lather/foam it creates is thick and sift, and while it does leave my face a bit dry and tight, it has caused zero irritation or compromise to my skin barrier. I always follow with toners, essences, serums, and moisturizers regardless of my cleanser, so the initial tightness is not bothersome. While it does dry a bit, it doesn’t seem to actually dehydrate my skin. Best of all, it keeps my skin clear and bright better than almost any cleanser I have ever used. I am so shocked by this bar, not at all what I expect from this type of soap. So pleased!!",18,2025-04-15 12:38:38
customer_review-RK0P0M5ACMAPU,B09N8NGJ77,Good,5.0,"February 6, 2025",Isabel,1,Perfect,0,2025-04-15 12:38:38
customer_review-RNDU4CEAAQD0C,B09N8NGJ77,Not harsh,5.0,"January 10, 2025",Marcella S.,1,"Gentle on my face!
Hard milled so it lasts.",0,2025-04-15 12:38:38
