review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R1V9GOS6DKQCWT,B0B348PSL7,Versatile and layerable; My complexion has never looked better,5.0,"September 1, 2024",Kai,1,"I want to say that I truly love these products. My skin's been relatively decent forever but my hormones have been terrible lately. I woke up and it was almost like my skin's barrier was gone and I kept getting cystic acne. For reference, I'm 26, and this was completely out of the blue. However, I've always had overly red cheeks (not rosacea but just thin skin), I thought maybe there'd be WAY to change that. Nope! The Glow Deep Serum and the Calm Serum changed the game! My face is evening out by the day. And the GLOW. I told my best friend, ""I literally wear a full face of makeup every day of my life and I truly love my skin and I feel like I really almost don't need it. This is CRAZY.""

First pic: No Makeup the lip product is a lip mask from Bath and body works
Second Pic: Makeup but you can see the glow from underneath AND you can see how hydrated my skin is and the texture improving. Unfortunate I didn't take any pictures when my skin was dying but. YES. get this.

My full routine:

Double Cleanse:
- Beekman 1802's Milk Wash Exfoliating Jelly (Cleanse alone with this and if you have sensitive skin you will fight me later. My skin hated me at first until I combined the Cetaphil but it wasn't nearly as bad as aveeno's ""sensitive"" skin line. That brand and facewash is TERRIBLE.
- Cetaphil Gentle Cleanser (My fav and so cheap)
Toner:
-The Saem ""Drop Be"" (Purchased when I went to Busan last winter but you can find it on Ebay)
Serums: I use all four of these- I introduced two then four at a time to address problem areas.
Face Mask:
-Mediheal ( My favorites are the Collagen ones and the WaterMide as they don't irritate my sensitive AF skin at all)
Eye Mask:
-Florence (the purple ones for undereye bags) Absolutely obsessed because I have terrible
undereye bags thanks to genetics. The definitely help with puffiness and discoloration. I've been using them for months now.
Lip scrub/Lip Mask:
-Bath and body works vanilla (so good I want a different one though since I like brand exploration but it's SO hydrating and it is great for a no-makeup clean girl look)
Barrier Cream/Skin life changer x2:
-ETUDE Soon Jung 2x Barrier Cream Hypoallergenic",47,2025-04-15 12:42:33
customer_review-R3HKFYN82D8LCL,B0B348PSL7,Love Love Love,5.0,"April 2, 2025",Abby Richens,1,"I loved all of these serums, they're all lightweight and easy to layer depending on your skin's needs. They're gentle but effective. I liked that they all came in a set to try them all out and I liked them all enough that I bought them all in the full size and use them everyday. My skin is sensitive and acne prone and these have not irritated by skin one bit nor caused any breakouts. None of them are oily at all! So far, everything I have tried from this brand has been a total hit!!",0,2025-04-15 12:42:33
customer_review-R1A8N84GVP0FLN,B0B348PSL7,WOW,5.0,"December 16, 2024",bbcw421,1,"These serums are so so so good. I love skin care and am always trying new brands and products, very experienced and cosmetology licensed. I love these. The way the main ingredient in the products are the first or second listed is excellent. The price is a great way to try these, and they have a gorgeous texture. No silicones yet glide on as if they do. From the ingredients it appears they are not full of fillers at all. Great texture yet absorb quickly, leaving your skin feeling plumped. I've noticed a big change in my pore size and blackheads which is my biggest skin concern. The first couple of weeks I didn't notice a change but then all of a sudden it was like night and day. Will be purchasing large bottles of these. The one I can do without is the green serum for redness, I do not have that as an issue so I will not be purchasing that one. I also bought the rice milk toner and love it as well. I am very interested in trying the eye serum and the masks. Great brand, this has sold me.",3,2025-04-15 12:42:33
customer_review-R3Q677Y3JK0WFQ,B0B348PSL7,Really like this sample kit!,4.0,"August 6, 2024",T. Morris,1,This kit gives me a chance to try different things before I spend too much money on things that do not work. I have nothing negative to say about any of the samples. My skin has clarity that I did not have before. I am still in the process of finding which one I like the most. They are all good and non-irritating to my skin.,9,2025-04-15 12:42:33
customer_review-RNL14ZIJQYQY0,B0B348PSL7,Great product,5.0,"November 26, 2024",Amazon Customer,1,Wow! These really work I feel my skin clearing and getting softer and rejuvenating my skin barrier! Bottles are tiny but you get 4 different variations. Value definitely worth it. Lightweight going on the face but you will notice it packs a punch in healing your face. Smells good too! Will buy again!!!,5,2025-04-15 12:42:33
customer_review-R15ZOMNDCSUNLJ,B0B348PSL7,I'm sold on the regular size!,5.0,"April 5, 2025",Sugar Magnolia,1,"These are tiny lil sample bottles but a little truly does go a long way. It's great to try them all out before buying regular size. They are AMAZING!!! I'm a huge fan of Kbeauty products and serums especially... these are all wonderful. Soak into the skin so nicely, not greasy at all, lays under makeup very well, gives such GREAT glow and hydration. Love love love 😍",0,2025-04-15 12:42:33
customer_review-RDAYDOIVTPR1V,B0B348PSL7,Good but not Great,3.0,"May 25, 2024",brodie,1,"All of these serums worked and I loved them. But I believe that there are much better serums out there than these. In this kit, the serums actually come very small and are used fairly quickly. Most of them are very great for sensitive skins and work well with texture and acne but there are much better serums that treat the same things that these do. I would use these if your just getting into skincare but if your looking for specific serums to treat specific things these are a waste of your time and money. They do all smell great though and have a great consistency and weight on the skin.",3,2025-04-15 12:42:33
customer_review-RRURUHR8HVSTQ,B0B348PSL7,Amazing product!!!!,5.0,"December 3, 2024",Nichole McCladdie,1,"This was just a starter kit to try them all out and it lasted me so long!! I absolutely fell in love with how soft, supple, and radiant these products left my skin. I got so many compliments and people who hadn't seen me in months asked what I was doing because my skin looked amazing. I wish I had done before and after pictures because this stuff is AMAZING!!!! Don't think it over snag this up, you won't regret it!!!",3,2025-04-15 12:42:33
customer_review-RTET8QWK3H7GL,B0B348PSL7,See above comment.,4.0,"March 22, 2025",Amazon Customer,1,"They leaked when they were mailed. Other than that, I enjoy them.",0,2025-04-15 12:42:33
customer_review-R3R2Z2IZ6L4DUG,B0B348PSL7,Excelente,5.0,"March 29, 2025",Edison,1,Muy bien,0,2025-04-15 12:42:33
customer_review-R3LX6767628Z92,B0B348PSL7,Skin care,5.0,"March 21, 2025",Fit a little large but great!!,1,Thank you !!☺️ Ill try good luck for me :$,0,2025-04-15 12:42:36
customer_review-R35EYJCV7C6CB0,B0B348PSL7,I recommend the trial size but I will not be buying full size bottles.,3.0,"April 13, 2025",Privacy,1,"My skin is in very good condition but it is sensitive. I must be careful about the products I buy so that my skin will be free from irritation. Two of the bottles had oils that were too harsh, and two were just so so. I liked the small travel size so I could test the oils inexpensively. None of the bottles had oils that enticed me to buy a full size bottle. I am seeking a trial size Joseon sunscreen.",0,2025-04-15 12:42:36
customer_review-R1GXK3P04UXKCI,B0B348PSL7,It's ok...,4.0,"August 16, 2024",Trin,1,"Well, at first I tried the glow serum and really liked it and it seemed to have done some good effects on my face. Then a couple days later I tried the snail serum and the next day I had SO many closed comedones all over my face! At first I thought it was just something I had ate, but then I researched it and found out it was closed comedones (basically where oil and dirt get trapped under your pores and create bumps). Plus I never break out from food.
And it took almost a week to get rid of it.
So I suggest you buy them separately...and the size well it's super tiny so yeah.",3,2025-04-15 12:42:36
customer_review-R14H1MC3U0DSEW,B0B348PSL7,Authentic products,4.0,"December 4, 2024",NAT,1,"Although these products are sold in amazon at a higher price, I am glad that they are authentic",0,2025-04-15 12:42:36
customer_review-R22XUYS17IBBAA,B0B348PSL7,Good product,5.0,"January 29, 2025",N,1,For a great deal and these serums are great!!! I could see visible difference in my skin in a few weeks!,0,2025-04-15 12:42:36
customer_review-R3LO9K7YR3KBT6,B0B348PSL7,great way to sample the big serums,5.0,"January 12, 2025",Alexis,1,i love that you can test out the products with these minis. i was indecisive on a bigger bottle so these were great to try out. all of them make my skin feel great and the packaging is cute.,0,2025-04-15 12:42:36
customer_review-R10YERDK6QRISF,B0B348PSL7,Beauty..oil,5.0,"February 3, 2025",Alyssa cox,1,Size and quality...it was a wine,0,2025-04-15 12:42:36
customer_review-R1SP79QVR1UQW7,B0B348PSL7,Serum Sample Packs…good way to tell what not to order,3.0,"August 24, 2024",L-izzy,1,"I bought the Beauty by Joseon Serum Discovery Kit and I am glad I didn't spend the money on the larger individual ones. My take on the four included are: 2 out of three of them are very sticky and feel terrible on the skin. I would absolutely pass on the Glow Deep Serum because of the tacky sticky grossness of it. I dont care how good it is, it never absorbs and just sits on top of your skin. The second worse was the Revive serum, it was also very sticky and never really dries or absorbs into the skin.

The two that I liked were the Green Tea and Panthenol as well as the Glow Serum with Propolis and Niacinamide. The green tea one absorbed nicely into the skin. The regular glow serum with propolis and Niacinamide was also pretty nice. It had a little bit of a tacky feeling but absorbed nicely into the skin after a little while.

None of them broke me out or made my skin turn red with a patch test on my arm. I would reorder the ladder two. None of them had much of a smell at all either which I really liked. I cant stand fragrances so that was a plus.",3,2025-04-15 12:42:37
customer_review-R2IQT7GTEZCQ7E,B0B348PSL7,Happy with this purchase,5.0,"January 4, 2025",Omah,1,Each small bottle is enough to last about two months. The glow serum is really good. Happy to try all four and then order my favorite in a larger size.,0,2025-04-15 12:42:37
