review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R2ZYBIH4K9VTUH,B0B3R1R2DG,very glowy and hydrating,5.0,"March 28, 2025",Priya,1,this product gives so much glow. Its part of skin routine everyday and I see alot of difference. Very easy to apply. Great product for the price. My skin feels Very hyderating and has less wrinkle lines.,0,2025-04-15 12:23:10
customer_review-R1OUY5I0VEGKYG,B0B3R1R2DG,Smooth and not heavy moisturizer and light.,5.0,"March 28, 2025",SONNETTE S. AQUINO,1,"Amazing product, gives my skin a very smooth and dewy feel.",0,2025-04-15 12:23:10
customer_review-R1CJTJTD4XW97Y,B0B3R1R2DG,Great serum,5.0,"March 11, 2025",Love,1,Great serum! Definitely moisturizing and I notice increased elasticity and plumpness too. I have very sensitive skin and this doesn’t irritate my skin at all. Definitely recommend!,2,2025-04-15 12:23:10
customer_review-R1BU9J1KTW5A7R,B0B3R1R2DG,Loved the product,4.0,"February 5, 2025",Super tasty! Love it,1,I love it. It absorbs quickly without feeling greasy and works perfectly under makeup. Good value for money,0,2025-04-15 12:23:10
customer_review-R3VZICB5U8OMF8,B0B3R1R2DG,Decent price for size and product effectiveness,5.0,"March 28, 2025",Jia,1,"I've been using the serum for about a year and when using it consistently, like any other skin care product, I do see improvement in my skin. I have dry flaky skin when I don't take care of it and this serum seems to fix that within two days of consistent use for me. I use it twice a day (morning and night).",0,2025-04-15 12:23:11
customer_review-RQQONHY21AN4U,B0B3R1R2DG,It works!,5.0,"March 28, 2025",Kathryn T.,1,Seemingly overnight this serum has made a difference in the texture of my skin.,0,2025-04-15 12:23:11
customer_review-R2B2KXJVV5R481,B0B3R1R2DG,Breaks me out,3.0,"December 25, 2024",Maya,1,Causes irritation that I’m not a fan of. It works well the first week then causes irritation,8,2025-04-15 12:23:11
customer_review-R1FE44WPRSQHZG,B0B3R1R2DG,Key product in skin care routine,5.0,"February 17, 2025",Loba,1,Nice consistency with some stickiness that glides and absorbs into the skin in seconds. Leaves your face appearance noticeably better. Love Beauty of Joseon products!,0,2025-04-15 12:23:11
customer_review-R3MM7OXVVU7P8C,B0B3R1R2DG,Recommend,5.0,"March 15, 2025",orlando,1,Los mejores productos de esta línea me encanta 😍 tengo que ordenas alguno que me faltan x probar pero son muy buenos y con un precio excelente lo,0,2025-04-15 12:23:11
customer_review-R17ETARRYCYGJ6,B0B3R1R2DG,Skin=Soft 🥰🥰😍,5.0,"March 16, 2025",Dj E.,1,I’m gonna order more on this cause this one is the deal for me 😍😍add this to your skin care routine girlies,0,2025-04-15 12:23:11
customer_review-R2101148HTGEK3,B0B3R1R2DG,Not For All Skin,4.0,"February 20, 2025",Alan W.,1,I would say be careful because it can be strong for some skin tips. Didn't work for me because I broke out with a rash.,0,2025-04-15 12:23:13
customer_review-RLWEULJHJKR6I,B0B3R1R2DG,Serum,5.0,"March 23, 2025",Sharon grant,1,Good,0,2025-04-15 12:23:13
customer_review-R2HBWZCMM2BCS8,B0B3R1R2DG,Korean serum,5.0,"March 20, 2025",Arisa,1,,0,2025-04-15 12:23:13
customer_review-RQ4WXLU4P4YB7,B0B3R1R2DG,Loved it,5.0,"February 5, 2025",Rmn,1,Made my skin feels soft and glowing. I can definitely see my pores less visible now. Right now on my 3rd bottle.,0,2025-04-15 12:23:16
customer_review-R1SM45Q6XX6VWS,B0B3R1R2DG,So far so good,5.0,"February 7, 2025",Sarmin S.,1,"No smell, very light and watery. Not sure if it’s hydrating but it’s not bad.",0,2025-04-15 12:23:16
customer_review-R3CM10O5OQC3W7,B0B3R1R2DG,Serum,5.0,"February 8, 2025",tiffany,1,Lightweight and soothing! Easy to apply and absorbs quickly,0,2025-04-15 12:23:16
customer_review-R5PPTE58JYXRI,B0B3R1R2DG,Works good,4.0,"November 9, 2024",Olivia Lombard,1,I was using it day and night and started to break out so I started using it just once a day and works just fine. Haven’t used it long enough to see results yet. It’s been a couple of weeks.,0,2025-04-15 12:23:16
customer_review-R10O264K0TV3HU,B0B3R1R2DG,Nice while it lasted,3.0,"March 27, 2025",Kimberly Wiest,1,It was great until my son threw the bottle in the backyard and got crushed by the lawnmower.,0,2025-04-15 12:23:16
customer_review-R3JZWI3W4WQMKO,B0B3R1R2DG,AMAZING,5.0,"November 25, 2024",RoaneRangers,1,"This stuff is legit! After just one use, I saw and felt a difference! I'm 46 and have some new skin issues (redness and bumps/rash) around my nose and chin that have caused me to change my skincare regimen. I'm literally in shock at how well this worked. I thought for sure it would take at least a week before I would notice anything, but after just one use, I saw a noticeable decrease in redness and bumps. I'm on day 2, and after my fourth application, the redness and bumps are completely gone!! Incredible ointment! I highly recommend it!",9,2025-04-15 12:23:17
customer_review-R3GKPPBNDBOXSY,B0B3R1R2DG,Moisture oil,5.0,"December 28, 2024",Chloe,1,"I like to use it as face massage oil, if u skins very dry u can try to use day and night before apply the face cream . Good Value
I adding 1 more star at it, cuz I find out I got better price , is cheaper here
I am waiting the price get lower to buy more 😂😂",2,2025-04-15 12:23:17
customer_review-R18WZR0MX67TIK,B0B3R1R2DG,Loved it!,5.0,"January 29, 2025",Terri,1,Immediately see the results. Super glowy bouncy skin achieved,0,2025-04-15 12:23:19
customer_review-R2KGXFRGMBSBRC,B0B3R1R2DG,Revive serum by beauty of joseon,5.0,"September 11, 2024",Jamil,1,This is day 3 of using this product I swear my son saw an add on ig on this product I was at the point of giving up he showed me I went to read the reviews I went and ordered it & when I tell you i tried it the first time I use it and I had my 10 year old tell me after 2 years of my daughter father passed telling me I was beautiful it helps with break out uneven tones and the glow you need at a certain age we need it cause we tend to lose hope but ladys this is the hope you need I did and I got what I wanted it gave me life,9,2025-04-15 12:23:19
customer_review-RT9GYGGLS8C9D,B0B3R1R2DG,meh,3.0,"February 4, 2025",Jasper Stone,1,"didnt really notice any change in my skin after using it for a month. also, the amount in the bottle is very small for the price",0,2025-04-15 12:23:19
customer_review-R33UZRG287XAGN,B0B3R1R2DG,Soothing,5.0,"December 12, 2024",Lisa,1,"I don't know what to say about this product. It is a wonderful hydrator, and my skin feels very soft after application. It's the last thing I apply before moisturizer or trentinoin if I'm using that.",8,2025-04-15 12:23:19
customer_review-R2G6KR131XTO87,B0B3R1R2DG,Características,5.0,"January 8, 2025",Calienta bien y es fácil de manejar con una mano,1,"Se absorbe bien,no tiene olor y se siente rica en la piel",0,2025-04-15 12:23:19
customer_review-RVEZ7EI3UMGQO,B0B3R1R2DG,Best product ever,4.0,"June 11, 2024",Jasmine Smith,1,It doesn’t have a fragrance which is very good. I love the feel of my face after using it. I just purchased it a week ago so the difference is slightly noticeable but it’s there. Definitely hydrates my skin. And goes give a finish. But I’m not using it alone. You’ll need either all their products or any other face routine to pair with this product. To see the full results. Trust me it’s worth it,12,2025-04-15 12:23:19
customer_review-R3V8R4M7T223NQ,B0B3R1R2DG,great!,5.0,"December 31, 2024",Amarie,1,I love Beauty of Joseon products. My skin has never looked so good,0,2025-04-15 12:23:19
