review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R1IKN0T49AMZJ8,B0B3R661JP,Luxurious and Effective,5.0,"April 7, 2025",Adrena Monic,1,"I’ve been using this product for a month now and I LOVE it!
1. A little goes a long way, as with all Beauty of Joseon products. I love them all by the way.
2. Very nice and smooth going on my face. I look forward to using it almost everyday. I switch up with the Joseon Green Plum Refreshing Cleanser but I like this cleansing balm better. It feels like I’m rubbing luxury on my skin. Face and neck.
3. I do not wear makeup. This is not just for makeup removal! I use it to clean my face and I do not have to follow up with a face wash. This works fine on its own.
4. This is the only cleansing product that shrinks the strawberry pores on my nose! Beauty of Joseon Red Bean Refreshing Pore Mask also works but it’s not a cleanser and I do not use it everyday like this cleansing balm.
5. It goes on like an oily cream but rinses off like water. That doesn’t make sense does it? I’m trying to say it’s not a messy and it rinses right off easily!
6. My face feels so smooth and hydrated when I’m finished! Of course I still follow up with my moisturizers (mixsoon and castor oil), but it doesn’t leave my face ridiculously dry like some other products.
7. Scent free

I hope you have a great experience like mine.",0,2025-04-15 12:32:35
customer_review-R1XEABN0E3PN8C,B0B3R661JP,WORTH EVERY CENT!,5.0,"April 10, 2025",Oscar Mercado-Marquez,1,First time ever using something like this & I’m obsessed! I have dry skin & sometimes oily it’s crazy I have some what sensitive skin yet this has worked great for me! Love the feeling not oily or greasy & rinses right off with warm water & or face wash. Helps remove my waterproof mascara so effortlessly THE BEST part! I’ve struggled to find a product that did this! So yes it’s worth it!,0,2025-04-15 12:32:35
customer_review-R198YA08WKU2QM,B0B3R661JP,A must try,5.0,"April 9, 2025",Michelle,1,"The reason why I love this product, is because it removes the mascara. All the other make up removers, I’ve used in the past, don’t remove the water proof mascara.",0,2025-04-15 12:32:36
customer_review-R41CNTWN1QCQN,B0B3R661JP,Good for makeup removal,4.0,"April 10, 2025",kama,1,Removes makeup and not harsh on skin,0,2025-04-15 12:32:36
customer_review-R1P1NLNW53OCVG,B0B3R661JP,Feels good,5.0,"April 8, 2025",jwthomas87,1,This feels really nice on your face and does a great job as the first part in a double cleanse,0,2025-04-15 12:32:36
customer_review-RR9GYCN9V7XAG,B0B3R661JP,Love this product,5.0,"April 6, 2025",M...,1,Amazing!! Takes all my eye makeup of in first wash and I wear heavy eye makeup eyeliner mascara! This stuff is awesome 👍,0,2025-04-15 12:32:36
customer_review-R1E6UYE20FBUXJ,B0B3R661JP,Definitely worth a try,5.0,"April 8, 2025",Chan C,1,"Great cleansing balm, no residue leftover, takes off all my makeup and doesn’t break me out",0,2025-04-15 12:32:36
customer_review-R3GRVA2PEUU6CK,B0B3R661JP,Will buy again!,5.0,"April 5, 2025",craig a bero,1,"Excellent! Removed makeup, even mascara, very well. Left my skin soft afterwards and not dry.",0,2025-04-15 12:32:36
customer_review-R11257M2C1A7BL,B0B3R661JP,Works ok,4.0,"March 8, 2025",Erin421,1,Works well with removing eye makeup. But irritates my eyes for awhile afterwards. Customer service was not helpful. I will not purchase again. Use caution if you have sensitive eyes.,5,2025-04-15 12:32:36
customer_review-R3NVBI0VEAWEHC,B0B3R661JP,BUENO,4.0,"March 3, 2025",Lit.Vane,1,"ES UN BUEN PRODUCTO. EN MI CASO NO QUITA TODO EL MAQUILLAJE DE UNA SOLA VEZ, HAY QUE HACER LUEGO EL LAVADO CON JABON FACIAL. SIN EMBARGO FUNCIONA BIEN.",0,2025-04-15 12:32:36
customer_review-R1J4X4YYOY9NC6,B0B3R661JP,"Perfect makeup remover, skin glow and no smell!",5.0,"March 16, 2025",Amaqlaaa,1,Love how my skin looks and feels after use. Nice skin glow and soft feeling. No smell! I have already bought my second one!,0,2025-04-15 12:32:39
customer_review-R846J140SZATC,B0B3R661JP,Excellent,5.0,"April 2, 2025",Jm,1,Wonderful product,0,2025-04-15 12:32:39
customer_review-R1BSOJKPM5EK8G,B0B3R661JP,It works well,4.0,"February 28, 2025",Ryan Man,1,"It can remove my face makeup, but I have to take time to take off the waterproof mascara. Overall it is good and doesn’t irritate my skin.",0,2025-04-15 12:32:39
customer_review-R3PVNEP3C1S0V4,B0B3R661JP,Works pretty good!,5.0,"January 28, 2025",Keisha Dennis,1,"This took my makeup off pretty well, it even did a nice job melting the adhesive glue from my false lashes. The texture is like butter melting as you rub it on, and it rinsed off quickly with no residue. My skin felt decently clean. I washed my face with my daily cleanser after to see if there was any makeup that could be left, and the soap was white still with no makeup left behind. I like using this rather than remover wipes, I don’t have to feel like I’m rubbing on my skin too much or tugging on it and I also end up going through a couple wipes at a time.",4,2025-04-15 12:32:39
customer_review-R3PDQ95Z9Y6YB1,B0B3R661JP,BOJ has never done me wrong but ...,4.0,"December 28, 2024",Travis,1,This is a great quality cleansing balm overall. I'm a guy so I wasn't looking to remove a lot of make-up or anything just a cleansing option that's super moisturizing for my dry skin especially as I'm getting older and seeing more lines. It leaves your skin feeling clean but soft and hydrated. My only complaint is that I started to get more breakouts and large pimples after a month or so of using it. I never break but it's kind of a given with a balmy product like this and my skin but it was great while it lasted. I guess I'm just meant to look old and dry if I don't want acne/breakouts.,2,2025-04-15 12:32:39
customer_review-R23U9BVEKOBNJY,B0B3R661JP,Love it!,5.0,"March 7, 2025",Ana S,1,"I'm on my third jar, this is my favorite cleansing balm! Nice texture, a little goes a long way, and sensitive skin safe. Definitely worth it!",2,2025-04-15 12:32:39
customer_review-R2DAYIVQ63XDFY,B0B3R661JP,Remove waterproof mascara,5.0,"February 27, 2025","Great quality, neat design",1,The best eye makeup remover including waterproof mascara. Very gentle to the eyes when massage in to loosen up the mascara and makeup. This is my 2nd tub and will continue to purchase.,4,2025-04-15 12:32:39
customer_review-R35R985QX9QE8N,B0B3R661JP,Worth it!,5.0,"March 8, 2025",Jordan Bowen,1,"One of my favorite products, my face loves it!",0,2025-04-15 12:32:39
customer_review-R2ACV44UC7QKCP,B0B3R661JP,Incredible!,5.0,"February 11, 2025",Ashley,1,Repurchased this many times and have bought for my entire family. We are obsessed. All of us have sensitive skin so this works great with being gently but effectively removing all the makeup. It will continue to be a staple in my skincare routine.,3,2025-04-15 12:32:39
customer_review-R3SOHVURJW7ES8,B0B3R661JP,Fantastic find for dry and fragile skin,5.0,"November 30, 2024",Ecstatic Thrum,1,"About a year or two ago, my normally soft, supple and clear skin took a complete and total dive.

Unfortunately serving as a harbinger for the health problems underlying its condition.

And while I'm still knee deep in identifying all the moving parts of my health problems.

My hope was to at least be able to calm my wildly reactive skin at the surface level.

This luxurious cleansing balm breaks down the day's buildup and rinses so beautifully that I've used it for both face and body as all of the skin on this sweet body has become *practically* hydrophobic.

For the face, I use this as part of a double cleanse with a brilliant enzymatic rice powder that turns into this lovely marshmallow-y cleanser.

And finish with a rice cream moisturizer to seal in the feeling of gently exfoliated, baby soft skin.

Rice skincare has been an absolute game-changer for me and my dry, flaky, rosacea-prone, eczema-prone skin.

Hoping next to switch out my witch hazel and mineral sunscreen for a rice-based toner and rice-based sunscreen formulated for dry skin... yes, they do exist <3

K-beauty products for the win!",21,2025-04-15 12:32:39
customer_review-R2QDXQHJ81R9H4,B0B3R661JP,Reminds me of Lilah B but without the fragrance! 😍,5.0,"August 1, 2024",Kathryn Magendie,1,"I loved my Lilah B cleansing balm so much I was sad when they went out of business. The only thing was Lilah B had a strong fragrance added, but it was a beautiful fragrance so I didn't mind.

I haven't found one that matched that perfect feeling of spreading on my facial skin smoothly and then turning to a beautiful oil-like texture and then washing away cleanly. I'm sure they are out there, I just didn't find one that I liked or compared to LB. Until this Beauty of Joseon cleansing balm!

I do love everything BOJ, so I am biased :) but this cleansing balm goes on so beautifully, spreads easily, and turns to a gorgeous texture on my skin. Easy to wash away. No fragrance, which is great if you have sensitive skin.

I don't double cleanse in the morning - I use BOJ ginger cleansing oil, which I also love as it cleans my face without drying it out. But, when I wear sunscreen and/or makeup, I will double cleanse. I use this balm first and then follow up with their Green Plum cleansing gel.

I have slight rosacea-prone skin and this does not irritate it. In face, the BOJ line is helping my rosacea - in particular their green tea serum calms the redness (along with CosRx snail mucin -gross but effective!).

And the price is so reasonable like all of BOJ products.

I need to order backups!",12,2025-04-15 12:32:42
customer_review-R351C1SYXV20YP,B0B3R661JP,Weird Scent,3.0,"April 4, 2025",mel_nda,1,"I really enjoyed using this the first time I bought it. It did a really good job getting all my waterproof mascara and sunscreen off. The second tub I got is not unscented like the first tub I got was. It has such an off-putting smell that I have to hold my breath while using it. Because of this, I probably won’t be purchasing it again.",0,2025-04-15 12:32:42
customer_review-RB6SPCC3KZTIB,B0B3R661JP,cleansing balm,4.0,"January 8, 2025",E. Lee Po,1,"Works well at removing make up for a double cleanse. Hasn't caused any irritation. I typically use Elemis make up removing balm, which is a bit more moisturizing. This would be a great summer product",0,2025-04-15 12:32:42
customer_review-R1B55X98342F9B,B0B3R661JP,THE BEST CLEANSING BALM,4.0,"January 14, 2025",Celeste,1,I Loved it !,0,2025-04-15 12:32:42
customer_review-R4GSWZU6JF83X,B0B3R661JP,"It’s ok, kind of drying",3.0,"February 22, 2025",adriennep,1,"I had just tried the Farmacy green clean but that started to cuz fungal acne around my chin, but made my skin feel hydrated so now I’m on the hunt for a really good non-comedogenic cleansing balm. The packaging is cute and felt great going on and did not break me out BUT did not make my skin feel hydrated. If anything, it kind of made it feel dry. Plus the packaging says it’s good for lightweight makeup. I do wear a full beat sometimes and would like something that would work for light make and heavy makeup.",2,2025-04-15 12:32:42
customer_review-R39V3ZGA9TW5KK,B0B3R661JP,Sensitive skin approved!,5.0,"February 5, 2025",Amazon Customer,1,"Love this for my dry, sensitive, rosacea-prone skin! It goes on so smoothly and doesn't leave any residue. Highly recommend!",0,2025-04-15 12:32:42
customer_review-R2F2J48MHKX5QX,B0B3R661JP,Nice but not the best,4.0,"November 8, 2024",Amazon Customer,1,"Overall I liked this cleansing balm. I would recommend it. It felt nice on the skin, non irritating and overall did a good job. It was a good price, so I was happy about that. I just have a couple of other favorites that I liked more.",4,2025-04-15 12:32:42
customer_review-R17SY9PP5F5J85,B0B3R661JP,"Feels like silk, rinses off so easily.",5.0,"October 25, 2024",Kindle Customer,1,"Heard about this from Dr. Dray on youtube and am SO glad I tried it. I have rosacea and atopic dermatitis, and allergies and sensitive eyes and - well, you get the idea. Actually, it's the sensitive eyes that may be the biggest problem: finding cleansers that remove what I need them to without having to rub the crap out of my skin and without burning my eyes is pretty tricky for me. But this feels amazing. It sounds cheesy, but I really do feel like I'm having a little spa treatment when I use it, and I enjoy doing a facial massage. It rinses off very easily, leaving no residue. I use it as part of a double cleanse with either a La Roche Posay or Cerave cleanser.",10,2025-04-15 12:32:42
customer_review-R2NX6FH0LU99KE,B0B3R661JP,Good for dry skin,4.0,"November 18, 2024",W. tse,1,"I like to use cleansing balm more than makeup remover wipes. I have dry skin, it can remove makeup without irritating my skin.",2,2025-04-15 12:32:43
customer_review-R6FR8HBCTBITR,B0B3R661JP,New staple in my skincare routine,5.0,"December 21, 2024",KLambeth,1,"I love how easy this product melts my sunscreen and makeup, and it doesn’t strip my skin’s moisture barrier at all. I use it first when I need to cleanse my skin, and wash it off with lukewarm water. I don’t follow with a foaming cleanser, because I feel like it dries and irritates my skin where just rinsing and drying doesn’t. It’s not greasy like a cleansing oil, but it still breaks everything down really well. It’s definitely a “subscribe and save” fave!",11,2025-04-15 12:32:43
customer_review-RY306CQTE7WNB,B0B3R661JP,SO good at removing my waterproof eye makeup,5.0,"December 3, 2024",Miyabi23,1,"I have always used liquid makeup remover which is a bit oily and sometimes annoyingly gets into my eyes. I saw a sale on this product that had great reviews so decided to give it a try. I'm really impressed by how well it removes my makeup, especially waterproof mascara. It doesn't leave the oily feeling the liquid kind does, and I can easily pack it into a travel container without worrying that it will spill in my luggage. I plan to continue to purchase it going forward!",3,2025-04-15 12:32:45
customer_review-R20KEVE69DD62X,B0B3R661JP,The perfect cleansing balm,5.0,"February 4, 2025",Kitty kat,1,Takes off all makeup without stinging or making eyes blurry,2,2025-04-15 12:32:45
customer_review-R1FOXPRM22CU4B,B0B3R661JP,Great cleansing balm!,4.0,"November 11, 2024",PrimeTime Buyer,1,Love how easily this balm emulsifies. Takes off makeup and sunscreen very well and does not irritate my skin. Leaves it clean and smooth afterwards!,0,2025-04-15 12:32:45
customer_review-R2YYCMGTK3QEB5,B0B3R661JP,"Unscented, Easy to Use",5.0,"April 10, 2024",Abby,1,"I bought this for travel. I usually use a face oil but felt that having a cleansing balm in solid form is easier to toss into a travel bag. This melts and spreads easily on the skin and includes a little paddle for you to scoop out the balm.

Before I apply makeup to my face, I will apply it to the back of my hand. This easily takes off Bobby Brown eyeliner gel make up and MAC concealer makeup. Once I saw that, I knew that this was a winner.

This won’t necessarily dissolve your mascara, though. If I wear mascara, I reach for a facial oil because that has the power to dissolve the mascara after a bit of gentle massage. To dissolve mascara using this, you need to use a bit more than usual, and have patience when massaging this into your lashes to break down the mascara. It will take a little more time and work compared to a facial oil, but it can be done.

I highly recommend this if you travel and don’t want to worry about a facial oil leaking in your luggage. If you wear a lot of mascara, I recommend you pack a small amount of facial oil (put it in a Ziplock baggie and a plastic bag to prevent leaks) to help break down the mascara.",8,2025-04-15 12:32:45
customer_review-R2EA41JA859YW8,B0B3R661JP,Good alternative and value,4.0,"August 25, 2024",M3 in Seattle,1,"Wanted to try this K brand as heard good reviews. It works as good as the other balms I’ve tried (Elemis, Clinique, Naturium) but I started getting little white bumps on my eye lid and eye area. Can’t say it’s from this but it’s the only change have made to my skincare. Also, it does take work to remove mascara (tubing kind) so I have to do another step with micellar water for that. All and all, I would recommend it to try out.",3,2025-04-15 12:32:45
customer_review-R3J1TL2MYMMDUE,B0B3R661JP,Alright,3.0,"December 28, 2024",victoria flores,1,"I do extensive research on all my skin products and I haven’t been a big fan of cleansing balms due to the synthetic wax it contains. It isn’t good for your skin, but I had tried cliniques cleansing balm and loved the way it removed my makeup so effortlessly so I figured I’d try this one because I am a fan of beauty of Joseon. The cleansing balm removed my foundation, but I struggled with removing my mascara and it’s not even waterproof. I did 3 applications/washes with a decent amount of cleansing balm and it still didn’t remove my mascara. The cleansing balm comes with a spatula and is a pretty decent size so it should last a while.",3,2025-04-15 12:32:45
customer_review-R34X5I4ZV7CK2G,B0B3R661JP,Great Cleansing balm,5.0,"January 27, 2025",Mohamed Bah,1,It’s been five years and this cleansing balm will NEVER go wrong. Must have!,3,2025-04-15 12:32:45
customer_review-R15TXQ0GHN7H2A,B0B3R661JP,Partially Worked,3.0,"January 25, 2025",Noelle,1,"I had been wanting to try this brand and was in the market for new cleansing balms. I’ve tried Clinique, Elemis, Farmacy, and a few drug store brands. Found this to be middle of the pack, and just ok. I typically wear waterproof mascara and it did not work to remove it as much as I would have liked for the effort I had to scrub my face. There are better products out there.",3,2025-04-15 12:32:45
customer_review-R2EKP2CUUC0U0X,B0B3R661JP,I love it!!!,5.0,"November 4, 2024",Daneil Botbyl,1,"I have very sensitive skin and need to remove my makeup without pulling and stretching. This product was very smoothed and balm like. It doesn't stay in my pores, and cleans off the makeup with ease. I will definitely be reordering it. Although I don't us makeup every day, I do use a tinted sun screen and I like the way it seems to removed that at the end of the day as well leaving me with smooth clean skin ready for moisturizer.",3,2025-04-15 12:32:45
customer_review-R1HQW8RF6NBZST,B0B3R661JP,Great!,5.0,"January 18, 2025",aw,1,I love this for cleaning my make up off and even just before washing without makeup! Very moisturizing!,0,2025-04-15 12:32:45
customer_review-R1R469ABGFHT7F,B0B3R661JP,Rebuy,4.0,"October 31, 2024",mhcp,1,Refreshing and Clean and it makes my skin feel energized,0,2025-04-15 12:32:48
customer_review-R1TL16UK0RVFHC,B0B3R661JP,YEEEESSSS,5.0,"December 20, 2024",:-),1,"Genuinely life-changing for me. The best skincare product I have ever come into contact with. It's moisturizing, has good ingredients, nourishes skin, cleanses, and has no strong fragrance! Great value for money. Can easily last a couple of months.",0,2025-04-15 12:32:48
customer_review-R2IOWF9VQTRCJ7,B0B3R661JP,SO GOOD,5.0,"December 9, 2024",Duchess,1,"Super buttery consistency but when rinsed off, you can feel that squeaky clean feeling on your fingers. No scent and isn’t drying. It takes off 98.2% of my makeup then I follow with my regular cleanser. Do note that I don’t wear heavy makeup, just a bit of concealer and setting powder.",5,2025-04-15 12:32:48
customer_review-R38Y4XBLF2PIYO,B0B3R661JP,Pretty good,4.0,"October 12, 2024",A,1,"Very good for very sensitive skin. Dries up quick after washing off, so make sure to moisturize soon after.",0,2025-04-15 12:32:48
