review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R1VXNR3CGF2HV,B0B45M89LX,Impressed After First Use!,5.0,"July 31, 2024",Angela R.,1,"I'm on a mission to seek out and try the best Korean skincare products that work for my skin, and so far this cleansing oil did wonders on my first use! I usually wait before writing reviews, so I can try out my purchases at least a few times. I felt compelled to share my experience after just one use!

I never knew a cleansing oil was necessary, and always wondered why influencers used so many products. Well it is a total game changer, especially if you combine it with a foaming cleanser afterwards. The deep pore foaming cleanser I used is from Anua, and it paired very well with this cleansing oil. I believe Joseon has something similar, but in a gel form. I will try that once I run out of Anua.

I first used the cleansing oil, and gently applied it to my face in circular motions. I focused on my T-zone for a few minutes to see if it made a difference in helping clear out my blackheads on my nose and forehead. I'm glad it doesn't leave an oily residue after rinsing. This cleansing oil melted off my make-up in a gentle manner and with no burning eyes. My skin didn't feel stripped either!

After cleansing oil, I followed with the Anua Heartleaf deep pore foaming cleanser. I grabbed my 10x mirror to see my nose, and holy cow my blackheads were pretty much gone! My pores looked very clean and I was so happy. If this is just one use so far, I cannot wait to see my results in the long run.

The smell of this product is of ginseng, and yes it may bother people, but it didn't bother me and it's a scent that doesn't last on your face. So, if your sensitive to scents, then this might not be for you.

Bottom Line: This cleansing oil will be my holy grail as long is it is offered!",39,2025-04-15 12:31:38
customer_review-R1JPASK0YA8FZY,B0B45M89LX,Love love this. Worth every penny and leave skin feel nice and clean,5.0,"March 11, 2025",K.N Minnesota.,1,"I found this at TJmax by accident. I’m Asian so obviously I would gravitate for anything Asian/korean skincare. I have a dry/sesnsitive skin and this is very gentle while cleanse thing well. My daughter has the other type of skin but she used just about anything on ticktock. She really likes this. Her friend tried and took same and was surprised how it control the oil for them. They are very sport active so their sweat is different than mine. They didn’t; break outs but more clarified skin. We ran out and she found this on amazon. I was surprised and found that this brand is very popular that I wasn’t aware of. The smell is just right for me. It’s has a light old/aged bourbon to me.

v",6,2025-04-15 12:31:38
customer_review-R12RCUN83QIUNI,B0B45M89LX,Excellent for dry sensitive skin,5.0,"March 25, 2025",Nicole,1,"I don't wear makeup but I use this daily to start my cleansing routine. I hit 49 and my skin has become dry and nothing helped. My friend told me about this line. I bought everything without even knowing what it's used for. Apparently it's used to take off makeup, oh well... if your skin is dry use this. Massage it in real good. Rinse and use the rice bar soap, their toner, serum, moisturizer and sunscreen and your face will be plump and juicy again. I've gotten so many compliments on my skin since using these products. Literally people at work staring and asking why I look so young 😂 sn: I have very sensitive skin, I have had no issues with breakouts.",3,2025-04-15 12:31:38
customer_review-R1BNS9SS2KOK7,B0B45M89LX,Double cleanse is game changer,4.0,"December 20, 2024",Alex Zalewski,1,I am an avid skin care routine girlie and consistently would have sebum in congested areas around nose and under chin. This stuff is perfect for those areas and just making for an overall fresh start to the face whenever you use this. Skin is soft. Skin is cleansed. Skin is hydrated especially with the double cleanse aspect. Consistency takes getting used to but the outcome is worth it,6,2025-04-15 12:31:38
customer_review-R2A4PLEKVUYWLQ,B0B45M89LX,Not bad!,5.0,"October 11, 2024",Della,1,"Edit: Okay, so I have decided to edit after a few days of using this cleansing oil, and give it the other ⭐, because I LOVE, LOVE, LOVE this product! Since writing my first review, I have discovered just how beautiful this cleansing oil really is. I wipe my face with warm water on a makeup wash cloth, put a couple of pumps of the oil in my hand, and just drip a few drops of warm water onto the oil in my hand, and immediately, it starts to turn like...creamy and white - not a frothy foam, but like milk in my hands. Then, I massage the creamy oil into my skin, and it doesn't really lather, so much as it seems to just become no longer oily. When I wipe it away, it leaves my skin just so...CLEAN and soft, but not feeling like it has stripped my face of all moisture like my benzoyl peroxide face wash does. It's bouncy and dewy and smooth. The other up side is that I don't have to wash my under eye areas separately with a gentle cleanser (I was using baby shampoo before buying this cleanser, and washing it first so that I didn't get benzoyl peroxide into my delicate under eye areas, which would have dried it out and caused worse fine lines). I can use this oil to gently wash my under eye area with my finger tips and to wash off my eye makeup if I'm wearing any, because it is so gentle and it adds moisture, instead of taking it away. My skin hasn't looked this good in decades - if EVER! I'm 41, and my skin looks better than it did at 31...or 21 for that matter, because for the first time in I can't remember when, I have ZERO blemishes, and - TMI, but: I'm in that point in my cycle when I'm usually having the worst breakouts, but not a single pimple or blackhead or bump of any kind. NOTHING has done so much for my skin as this oil has. Not retinol, not salicylic acid or benzoyl peroxide not an expensive cream or serum - nothing!

I used to DREAD washing my face, because I had to take care not to get any under my eyes or on my neck, and had to thoroughly get all of it off when rinsing, etc, but this cleansing oil has turned my least favorite part of my skin care routine into my FAVORITE part! And I no longer dislike the smell; I now associate it with the lovely experience. I WILL be reordering! I'm even contemplating buying one to use in the shower! Seriously.

If you are interested in trying an oil-based face wash, but you're an oily or combination skin type, THIS is the one to try! It's now ESSENTIAL to my skin care routine. Did I say I LOVE it?!

Original review: So, first of all, I'm VERY impressed with the shipping. I ordered it after 11am, and it was on my porch by 4. Having two toddlers and no time to leave the house, that is just VERY convenient.

On to its quality: it feels very light and left my skin feeling clean and soft, and did not make me greasy. I did enjoy the spa-like feeling, too. It wiped clean with just warm water and a microfiber towel that's made for makeup removal.

However, my biggest issue is with the smell. It stinks. BUT, as a girl who grew up on the border of Appalachia and the Midwest, I recognize that smell: it's ginseng. While I don't usually desire scents in my skin care products, I would probably have approved of some modification of the smell of this particular product. That said, I'm going to continue using it BECAUSE of the ginseng and its antioxidant properties...but I'll probably follow it up with a toner that DOESN'T stink. lol

I'm an oily skin girl, and so far I don't think it's going to make things worse - especially since I'm still in the 6-8 week retinol purge, so not much CAN make it worse...ugh! AND my skin probably needs the addition of oil to prevent any dryness retinol may cause later on down the road.

I'm going to use this product up, and I'll decide when it gets close to empty whether or not I'm going to reorder. So far, so good. Excellent price for what you get too, so if you're looking for an effective oil cleanser that isn't just canola or coconut oil that will leave you greasy, this is the one.

Time will tell, and I'll be back - good or bad.",48,2025-04-15 12:31:38
customer_review-R2D2610MLY7CX0,B0B45M89LX,Does not work well in removing makeup and smell is unpleasant,3.0,"September 11, 2024",Amazon Customer,1,"I’ve used this cleansing oil for almost a year as I bought multiple bottles initially.
Pros: it works well as a gentle cleanser and does not dry out/strip your skin (as you would expect with a cleansing oil).
Affordable and lasts a very long time.

Cons: I mainly bought it to do the heavy lifting with removing my makeup and it did not do such a great job. I had to either cleanse with this oil twice to remove majority of the makeup followed by a different cleanser or micellar water or use more of the micellar water if using it once. Also if you use it heavily on your eyes, it would sting. For reference, I don’t use a lot of make up just tinted moisturizer, mascara and blush/bronzer.
It does have an added fragrance, but it does have a scent (maybe the natural scent of the ginseng oil) that kind of reminded me of gasoline, which I really disliked.

Personally for me, I won’t be purchasing it again.",13,2025-04-15 12:31:38
customer_review-R1TICWF41CEK80,B0B45M89LX,Beauty of Joseon is a lovely brand,5.0,"July 13, 2024",Kathryn Magendie,1,"Beauty of Joseon is fast becoming my most favorite K-Beauty (or any other skincare) Brand! They are getting a lot of attention lately but they've been around a while. Their products are gorgeous and so reasonably priced.

I have aging skin so cleansing oils work very well for me. I use them in the morning as the very first step in my skincare routine.

Apply a bit to dry skin and gently work it onto your face. Then add a bit of water and gently work that in. I rinse my face with tepid water - never hot! - about 10 times, and then give my face 4 or 5 splashes of cold water. I then tone, let my skin dry, pat and press on my vitamin c, let that absorb, and then the rest of my routine.

This cleanser goes on so smoothly and leaves my skin happy and non-irritated, but still clean. It does have a bit of a scent but it's not strong and it's not off-putting to me as it is to some - I rather like I t- and as well it quickly dissipates.

I am excited to try their balm and their gel cleanser for evenings when I want a deeper cleansing.

I've used other Beauty of Joseon products -like their ginseng essence - and love the brand. Reasonably priced too.

If you have dry aging skin, give cleansing oils a try. If you've worn sunscreen and/or makeup, you would want to double cleanse and maybe use a cleansing balm instead of this oil, but this is great on its own in the morning.",21,2025-04-15 12:31:38
customer_review-R1BT91E47DEJPL,B0B45M89LX,Great oil cleanser for removing face sunscreen and makeup,5.0,"April 1, 2025",Kathy,1,Great oil cleanser! I use this in the shower to remove my face sunscreen and makeup. The key to any oil cleanser is to work it in to dry skin first and THEN add water to emulsify it. I rinse it off completely and then follow up with a salicylic face wash. I use two pumps so it lasts a long time for me--I'd estimate about 4-5 months honestly :) I have normal-oily skin and I break out pretty easily if I introduce a product to my routine that doesn't agree with my skin. This has never caused any breakouts for me. I don't notice a strong fragrance either. Great value for the price! I've repurchased three times and will continue to repurchase.,0,2025-04-15 12:31:39
customer_review-R2D6IAEJRYRU9R,B0B45M89LX,Luxurious way to take off your make-up and sunscreen,4.0,"April 13, 2025",Renee Dosch,1,This oil cleanser does a magnificent job of taking off the days makeup and sunscreen. It dissolves your makeup off and moisturizes your face at the same time. I use it as my first step in washing my face. I finish with a foaming cleanser and a toner. This is a great affordable 1st step to your skin cleansing routine. I also massage my face gently with this hydrating oil. The price is right but you have to use as least three squirts of it per face wash. The bottle is going quickly. But compared to other oil cleansers the price is affordable.,0,2025-04-15 12:31:39
customer_review-R958Z6WAM6W3C,B0B45M89LX,I like it!,4.0,"March 30, 2025",May Chubbi,1,"I’m finishing one of my bottle and I must say although I love this brand, I do prefer centella when it comes to oil cleanser.
This one smells nice with a hint of ginger scene, it feels thicker compared to centella and I’m not truly sure If it’s cleansing well since I d double cleaning. However I haven’t had any irritation or redness from using it so I’d say it works well.",0,2025-04-15 12:31:39
