review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R1LORYLYAZ3H3R,B0BJPJGG13,"★ x 1,000,000",5.0,"December 3, 2024",•Paris•,1,"This is it. FINALLY.

I have dehydrated skin: dry and oily (not combo). Been searching for 20 ANOS for a moisturizer that is gel form, water based, light and highly moisturizing WITHOUT making me oily hours later.

AND FRAGRANCE FREE. Because lets face it, any company adding fragrance to their moisturizer has IMMEDIATELY lost all credibility....its their way to say ""we dont gaf what your skin absorbs""

I lightly dampen my skin after my serums and rub this silky, velvety, loveliness into my skin

Im also using Rx Retinol which makes you flaky at first. No matter how much of this stuff i use to contain the flakiness, IT STILL NEVER MAKES ME OILY!!

LOVE LOVE LOVE!!!

And yall, speaking of retinol - stop buying it

Studies prove OTC strength retinol is NOT effective. Manufacturers know this. Its all a scam. So call your regular doc right now and have them phone in an Rx for either the cream or gel retinol.

I promise it works amazingly.",92,2025-04-15 12:30:42
customer_review-R2K5YJ0VNJGET7,B0BJPJGG13,I love this product!,5.0,"April 7, 2025",Christina,1,I love the gel texture and its super moisturizing perfect for oily and combo skin. My skin feels amazing after using it and it's afforable!,0,2025-04-15 12:30:42
customer_review-RZ6AI8XQ3BCLH,B0BJPJGG13,Smooth loved it totally recommend,5.0,"February 26, 2025",BHARATH MANDALA,1,"So as anyone who knows the beauty of Josean products they know they are one of the best skin care products u ever use or have in ur shelf’s it felt amazing on the skin and it does what it says also people with irritated skin totally can go for this and this is one the water base moisturizers like u know the aqua based ones which is like water based ones they dont irritate ur skin they makes u feel cool and soft on ur skin
People with :
Acne prone 👍
Sensitive skin👍
Inflammation 👍
Red 👍
Irritated 👍
Best for them",5,2025-04-15 12:30:42
customer_review-R1KVW1OG0N71A4,B0BJPJGG13,First gel based moisturizer.,4.0,"April 2, 2025",Wren,1,"Been using it for a couple of days with Anua color correcting serum after my nightly shower routine. Before this is was using a pot face cream that cost like 34$ so double what this costs. Works best on damp/wet skin, noticed that it makes skin more sticky if you apply it dry. if you use too much you will notice, like i had to wash off the excess when i used it for the first time bc it just wouldnt absorb and left a film on my face. So far i think i like it, i will see if i get another - i have been using a lot of BoJ products and most of them work really well.

Pros: Very little needed, absorbs very fast. Results are very nice - skin feels super soft once it absorbs fully.

Cons: Causes kind of a tacky/sticky sensation on the face while its absorbing. Takes a couple of moments to absorb.",0,2025-04-15 12:30:42
customer_review-R2UA07972OD3EQ,B0BJPJGG13,ideal for sensitive skin,5.0,"January 7, 2025",ayah!! 🎀,1,"i really like the consistency of this product. it isn’t too lightweight to where it feels like it’s not doing anything, but it’s light enough to not feel greasy or heavy. i have very irritable and sensitive skin and this moisturizer does not affect it negatively at all. it’s a good moisturizer that gets the job done, and makes for a great moisturizer before your makeup because it provides long lasting moisture!",17,2025-04-15 12:30:42
customer_review-R1GW0B0MJTKON9,B0BJPJGG13,Great daytime moisturizer for dewy skin,5.0,"June 9, 2024",E. L. White,1,"I have acne prone, slightly oily skin that can easily look congested. While I like my heavier lotions for the evening, I started using this during the day because my skin just looks smoother and less congested. It also gives a bit of a nice hydrated glow, I could see this being a good option if you want a dewy or glass skin look. The gel texture is particularly nice in hot weather, I might try throwing it in the fridge to cool my skin down in the morning. Doesn't have much of a scent that I have noticed. Will definitely be repurchasing this one. I am a bit of a Beauty of Joseon stan after trying a few of their products. I love the aesthetic, and they all work nicely so far.",34,2025-04-15 12:30:42
customer_review-R2OD1JO8B9NYN9,B0BJPJGG13,Good enough for certain seasons,3.0,"October 26, 2024",Ginryu,1,"I purchased this during the summer because I was running out of moisturizer and it kept my skin moisturized during that time. When it got colder, my skin was left dry again. It is not ideal for those with pretty dry skin especially during colder seasons. The gel like consistency is nice and isn't sticky. It does not have a scent.",5,2025-04-15 12:30:42
customer_review-R36ZKFQYLO51GI,B0BJPJGG13,Very light!,5.0,"April 11, 2025",Jessica Gonzalez,1,Very light and moisturizing!,0,2025-04-15 12:30:42
customer_review-R31H9CMHVLP6Z8,B0BJPJGG13,Love it,4.0,"April 13, 2025",Patricia B.,1,"Love it so much, it doesn't have a smell at all, it is very moisturizing and gives you a nice glow. I have ordered it twice already and it is definitely worth the money.",0,2025-04-15 12:30:42
customer_review-R174QQ4O9AAKNO,B0BJPJGG13,One of my favorites,5.0,"April 13, 2025",Gabriela Aguero,1,"I searched for the product ingredients and they’re safe and clean (99/100), it makes my skin feels so hydrated and it is not itchy I use it everyday",0,2025-04-15 12:30:42
