review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R1LCTEVXGSJQ10,B0BJPKX14D,Love it!,5.0,"December 29, 2024",sana shaikh,1,"The Beauty of Joseon Red Bean Refreshing Pore Mask is an absolute gem for anyone looking to detoxify their skin while maintaining hydration. As someone with oily skin, I’m always on the lookout for products that purify without leaving my skin feeling stripped, and this mask delivers perfectly.

The formula is enriched with red bean extract, which is known for its antioxidant properties. The texture is smooth with a gentle, grainy consistency—enough to provide light exfoliation but not so rough that it irritates. Applying it feels like a mini spa experience; the mask spreads easily and has a natural, earthy scent that’s soothing without being overwhelming.

I left it on for about 10 minutes, during which it didn’t dry out uncomfortably like some clay masks do. Washing it off was easy, and I loved the slight scrubbing effect as I rinsed. The results were immediate—my skin felt clean, refreshed, and soft, with noticeably minimized pores around my T-zone.

What I appreciate most is that, unlike many pore-focused masks, it didn’t leave my skin tight or dry. Instead, my face felt balanced, as if it had just hit the reset button.

This mask is perfect for weekly use, especially if you’re dealing with congestion or dullness. The Beauty of Joseon Red Bean Mask combines tradition with modern skincare needs beautifully, making it a must-try for anyone seeking gentle yet effective pore care.",47,2025-04-15 12:29:46
customer_review-R3L1XQEJBT78IW,B0BJPKX14D,One of my favorite products,5.0,"April 7, 2025",Steph,1,"I have dry sensitive skin and have tried many different products to even the texture and color of my face, and I have to say this is the only one I use regularly because I love the way it feels. It’s very refreshing, I like to use this one in the morning and then the rice mask at night by the same brand. They make my skin feel fresh and smooth, and they don’t cause irritation instead it calms some of the redness I usually experience. There’s a notable difference in my skin when I use this regularly and when I don’t use it for a few days in terms of lasting hydration and skin elasticity. The little tubs also go a long way, I would say it’s a great product at a great price.",0,2025-04-15 12:29:46
customer_review-RO6Y3BKALNS98,B0BJPKX14D,Good quality !,5.0,"February 26, 2025",Meg,1,"Smooth and cooling, easy to use and wash off, didn't make my skin dry or irritated, and smells subtly like bananas. Its a win in my book",0,2025-04-15 12:29:46
customer_review-RL586X1HTJCKY,B0BJPKX14D,"Good for oily skin, sensitive not so much",4.0,"July 19, 2024",Elliott Grant,1,"This was my first time trying this product and I wasn't sure how I felt about it at first, but in the end I decided it's not for me. It has a strong scent despite having no added fragrance. I had it on for about 15 minutes and while it was on it felt kind of tingly and weird but not unpleasant. It was a bit hard to wipe off, but once I did it left my skin feeling very clean and soft but also very dry. Then the prickly feeling started, which lasted for a while and was very unpleasant. I have sensitive skin but I'm not sure how to pinpoint which ingredient(s) would irritate my skin.

The container is a decent size and comes with a little plastic spatula, although I used my own silicone tool to apply it. Overall I would say it's probably a great product for people with super oily skin, but I think it's just not for me.",20,2025-04-15 12:29:46
customer_review-R2U6KH2DIKMFEO,B0BJPKX14D,Leaves glowy skin,5.0,"April 6, 2025",cat mom,1,Best mask is not drying and it does the work. Leaves a healthy glow after washing non drying at all. A little bit goes a long way and the scent is mild and nice. Looks thick but applies easily and comes with a mini spatula.,0,2025-04-15 12:29:46
customer_review-RWMLBGZUE47IT,B0BJPKX14D,Loveeeee,5.0,"February 28, 2025",Yulissa Daniels,1,"This is my second mask our purchased from this brand. First off, the consistency is like myself; thick like butter 🤣 I’m serious yall. I love the scent which is a mild sweet scent but yall the wash off *chef kiss* soft and hydrated skin. Definitely value for your money.",5,2025-04-15 12:29:46
customer_review-R2QO00SRA0EUAS,B0BJPKX14D,"Hydrating, no effect on my pores..",5.0,"March 17, 2025",Morgan Ashley,1,"Great mask with a heavenly scent and benefits for your skin. Left my skin looking plump and glowy, I don’t think I would say my pores looked any smaller though…",0,2025-04-15 12:29:46
customer_review-R364EWKJ0L97AF,B0BJPKX14D,I kept breaking out…,3.0,"March 17, 2025",Makayla Marie,1,I liked the product but the issue for me was everytime I used it a broke out after. I tried it on 4 different occasions just to see and I broke out. The texture was great and it felt nice as well,2,2025-04-15 12:29:46
customer_review-R230BPTLGDY31J,B0BJPKX14D,Love this thing!,5.0,"March 9, 2025",Andi,1,"This mask is amazing. I have had it for a little while and, when I purchased it, I was worried that it would be pricey for how many times I'd be able to use it before I'd run out, but I am happy to say that was an entirely unfounded worry lol. I've used it 25 times so far, and I'm not even halfway through. It feels so nice and fancy compared to slimy sheet masks, and it's got a super nice texture. Not to mention what it does for my skin! My skin is always so bright and healthy looking afterwards, and it feels super soft too. It's not sticky or drying at all, and I'd totally buy it again when I run out! I feel so pretty when I use it :)",0,2025-04-15 12:29:46
customer_review-R1LOT2KZPGS8PM,B0BJPKX14D,Me encanta esta mascarilla,5.0,"March 26, 2025",Cira saenz,1,"Megusta mucho esta mascarilla, cumple
con su funcion. Llevo un tiempo usándola y según mi criterio, Pienso que es perfecta para las pieles grasa o mixtas como la mía, ya que controla la producción de sebo de la piel. Me gusta usarlo de 1 a 2 veces por semana. Para descansar mi piel del maquillaje. Deja mi rostro hidratado y suave, limpia pero sin sensación tirante. Si Tienes la piel grasa o mixta no dudes en probarla.",0,2025-04-15 12:29:46
