review_id,asin,title,rating,date,reviewer_name,verified_purchase,body,helpful_count,crawl_date
customer_review-R2R7YFK4YB2Y9F,B0C43QBRHX,love it!,5.0,"December 3, 2024",Anon,1,"i think this is a great formula that’s thick enough to moisturize well but not too thick where it doesn’t absorb and ends up being sticky. the scent is more pine-adjacent than actual pine, but i find the fragrance to be soft an elegant. the scent doesn’t linger and isn’t too strong.",0,2025-04-15 12:39:58
customer_review-RN4LN9JANWVX2,B0C43QBRHX,Needs more pine scent,4.0,"May 20, 2023",Amazon Customer,0,"I can smell a hint of pine, and it’s great – until it’s overwhelmed by some other scent. I’m assuming this is the “earthy woodsy” scent, but it smells almost like baby powder to me and is kind of off-putting. It is very light and hydrating, very easy to spread on and lasts all day. If I saw this in a standalone shop and got the chance to smell it first, I’d give it a pass. Scents are very personal things though and this probably smells perfectly amazing for many others out there.

INGREDIENTS:
Water,Glycerin, Dicaprylyl Carbonate, Cetearyl Alcohol, Macadamia Integrifolia Seed Oil, Caprylic/Capric Triglyceride, Octyldodecanol, Butyrospermum Parkii (Shea) Butter, Cetearyl Olivate, Pentylene Glycol, Polyglyceryl-3 Methylglucose Distearate, Sorbitan Olivate, 1,2-Hexanediol, Copernicia Cerifera (Carnauba) Wax, Juglans Nigra (Black Walnut) Leaf Extract, Pinus Densiflora Leaf Extract, Sophora Japonica Leaf Extract, Trichosanthes Kirilowii Root Extract, Chamaecyparis Obtusa Water, Pinus Sylvestris Leaf Extract, Cocos Nucifera (Coconut) Fruit Extract, Hippophae Rhamnoides Fruit Extract, Bambusa Vulgaris Water, Cupressus Sempervirens Leaf Extract, Pinus, Sylvestris Bud Extract, Paeonia Suffruticosa Root Extract, Gaultheria Procumbens (Wintergreen) Leaf Extract, Prunus Persica (Peach Flower Extract, Pinus Pinaster Bark Extract, Anemarrhena Asphodeloides Root Extract, Methyl Trimethicone, Vinyl Dimethicone, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Butylene Glycol, Propanediol, Palmitic Acid, Microcrystalline Cellulose, Ammonium, Acryloyldimethyltaurate/VP Copolymer, Hydrogenated Lecithin, Caprylyl Glycol, Ethylhexylglycerin, Cellulose Gum, Sodium Phytate, Tocopherol, Hydrogenated Polyisobutene, Methylpropanediol, Dipropylene Glycol, C12-16 Alcohols, Stearyl Alcohol, Xanthan Gum, Fragrance(Parfum)",7,2025-04-15 12:39:58
customer_review-RYMLUHPCEUYGJ,B0C43QBRHX,Amazing!,5.0,"December 19, 2024",Astr4a,1,It smells so good and my skin feels so smooth after I use it!!!,0,2025-04-15 12:39:58
customer_review-R1HZTHYO31B0O8,B0C43QBRHX,My second bottle and I can't open the pump,3.0,"October 16, 2023",Kaz,1,Does anyone have tips on how to open the pump? This is my second time with this problem,0,2025-04-15 12:39:58
customer_review-R3UVCDCD0MZR64,B0C43QBRHX,Expensive for a moisturizer…but it smells so good,5.0,"June 23, 2024",Oxymoron_Deli,1,"Okay, I bought this moisturizer as a general body lotion and I’ve heard great things about Beauty of Joseon products. While I think the moisturizer is a bit expensive, I love the fragrance. The lotion works really well, and my skin (legs/arms) feels great after applying the moisturizer. I’m sold on the scent though. It’s strong at first but drys down to be a light, aromatic fragrance. It doesn’t last all day sadly, but I would buy a perfume with this fragrance profile.",0,2025-04-15 12:39:58
customer_review-R1SBH4OO3HFR29,B0C43QBRHX,In Love,5.0,"June 11, 2024",Leigh,1,"I just received this lotion and used it for the first time and absolutely love it. I love anything pine scented. It's hard to find pine scents so I was so excited to come across this by accident. I see a lot of people buying products from Garden of Joseon so I already trusted them as being really good quality. If you love pine scents, you have to try this. The cream itself is so silky. It feels amazing on my arm. So happy I came across this!",0,2025-04-15 12:39:58
customer_review-RHCZYMAMRNWOI,B0C43QBRHX,Deeply moisturizes,4.0,"May 13, 2023",ItsMe,0,"This cream is lightweight and creamy. It gets absorbed into the skin quickly, leaving the skin feeling soft and silky.

Deeply moisturizes my hands while getting rid of the skin fissures and dryness due to winter weather and over washing.

It does have an overpowering musky scent that I really don't like and it lingers for a long time even after washing the hands multiple times. I've realized it's the strong scent of pine.

Now let's talk about the packaging. The pump does not have an arrow like a standard pump does showing which way to turn to open and close so you're left turning both ways hoping that the pump pops up. It took about 5 minutes of turning to finally figure out that you have to push in the middle of the pump to make it pop up! You'd think for the price that you pay for such a small bottle that they would at least add that to the pump.",0,2025-04-15 12:39:58
customer_review-R22FKY04JWFF3F,B0C43QBRHX,amazing!!!,5.0,"August 7, 2024",Mai Hodahkwen,1,I would give it a thousand stars if I could. Best lotion ever! It leaves my skin sooooo beautiful!!!,0,2025-04-15 12:39:59
customer_review-R36GBUQ0FWSED5,B0C43QBRHX,This product is amazing!!,5.0,"November 10, 2023",Adventure Cat,1,I paired this with the pine body wash and the two together are simply miracle workers for skin. The scent isn’t overwhelming and a small amount of the lotion goes a long way. I noticed immediate difference in the moisture of my skin.,0,2025-04-15 12:39:59
customer_review-R3EZUYFI6Z2TUW,B0C43QBRHX,Opinión,3.0,"August 12, 2023",Melanie Worthington,1,Be more careful with the product since it arrived with blows and spilled.,0,2025-04-15 12:39:59
